time,raw_emg
0.0,0.024
0.001,0.0716
0.002,0.206
0.003,0.3115
0.004,0.2864
0.005,0.3208
0.006,0.4167
0.007,0.3802
0.008,0.2009
0.009,0.2642
0.01,0.0075
0.011,-0.1106
0.012,-0.1792
0.013,-0.3658
0.014,-0.3871
0.015,-0.2943
0.016,-0.3414
0.017,-0.3113
0.018,-0.1763
0.019,-0.0843
0.02,0.0129
0.021,0.1247
0.022,0.241
0.023,0.3399
0.024,0.4766
0.025,0.4887
0.026,0.3662
0.027,0.3338
0.028,0.3202
0.029,0.2441
0.03,0.0756
0.031,-0.1626
0.032,-0.2373
0.033,-0.3308
0.034,-0.3607
0.035,-0.349
0.036,-0.341
0.037,-0.2848
0.038,-0.2067
0.039,0.0212
0.04,0.0595
0.041,0.131
0.042,0.3133
0.043,0.322
0.044,0.4276
0.045,0.4927
0.046,0.4667
0.047,0.3916
0.048,0.2943
0.049,0.1192
0.05,0.0308
0.051,0.0034
0.052,-0.136
0.053,-0.3384
0.054,-0.4008
0.055,-0.262
0.056,-0.3697
0.057,-0.3229
0.058,-0.075
0.059,-0.1351
0.06,0.1195
0.061,0.2176
0.062,0.221
0.063,0.4061
0.064,0.4024
0.065,0.3751
0.066,0.4469
0.067,0.4646
0.068,0.2329
0.069,0.2363
0.07,0.1299
0.071,-0.0939
0.072,-0.1474
0.073,-0.2182
0.074,-0.2718
0.075,-0.408
0.076,-0.3769
0.077,-0.1777
0.078,-0.2225
0.079,-0.1177
0.08,0.0418
0.081,0.1781
0.082,0.2796
0.083,0.3791
0.084,0.4782
0.085,0.4307
0.086,0.4586
0.087,0.4375
0.088,0.3806
0.089,0.3051
0.09,0.0197
0.091,-0.0465
0.092,-0.0979
0.093,-0.2326
0.094,-0.3146
0.095,-0.3264
0.096,-0.3083
0.097,-0.2552
0.098,-0.0804
0.099,0.0218
0.1,0.1417
0.101,0.3611
0.102,0.2876
0.103,0.4357
0.104,0.4519
0.105,0.5194
0.106,0.5918
0.107,0.3743
0.108,0.2882
0.109,0.2173
0.11,0.0337
0.111,0.0056
0.112,-0.0312
0.113,-0.2708
0.114,-0.2584
0.115,-0.3269
0.116,-0.274
0.117,-0.2172
0.118,-0.142
0.119,0.0187
0.12,0.1427
0.121,0.2009
0.122,0.2793
0.123,0.5045
0.124,0.6299
0.125,0.4819
0.126,0.5288
0.127,0.4222
0.128,0.4115
0.129,0.2189
0.13,0.2078
0.131,-0.0569
0.132,-0.1169
0.133,-0.2094
0.134,-0.2694
0.135,-0.2428
0.136,-0.2392
0.137,-0.2275
0.138,-0.2179
0.139,-0.0095
0.14,0.08
0.141,0.2192
0.142,0.3522
0.143,0.4755
0.144,0.6164
0.145,0.4981
0.146,0.5275
0.147,0.4723
0.148,0.4268
0.149,0.2413
0.15,0.2371
0.151,0.0844
0.152,-0.144
0.153,-0.2247
0.154,-0.2456
0.155,-0.2818
0.156,-0.2611
0.157,-0.1881
0.158,-0.052
0.159,0.0438
0.16,0.1756
0.161,0.2912
0.162,0.3497
0.163,0.4664
0.164,0.5133
0.165,0.6301
0.166,0.4532
0.167,0.4998
0.168,0.4212
0.169,0.259
0.17,0.1289
0.171,-0.0148
0.172,-0.0485
0.173,-0.1946
0.174,-0.2248
0.175,-0.3154
0.176,-0.2317
0.177,-0.2078
0.178,-0.0759
0.179,0.1163
0.18,0.1145
0.181,0.2895
0.182,0.3476
0.183,0.5747
0.184,0.5869
0.185,0.6044
0.186,0.6268
0.187,0.4892
0.188,0.4661
0.189,0.2411
0.19,0.1596
0.191,0.0637
0.192,-0.0166
0.193,-0.2213
0.194,-0.2315
0.195,-0.2229
0.196,-0.1975
0.197,-0.1835
0.198,0.0268
0.199,0.065
0.2,0.238
0.201,0.3586
0.202,0.4572
0.203,0.5005
0.204,0.5717
0.205,0.5192
0.206,0.5313
0.207,0.4855
0.208,0.4571
0.209,0.3163
0.21,0.2363
0.211,0.0955
0.212,-0.0495
0.213,-0.2119
0.214,-0.1571
0.215,-0.2589
0.216,-0.2117
0.217,-0.0902
0.218,-0.072
0.219,0.0587
0.22,0.2763
0.221,0.2582
0.222,0.4395
0.223,0.6531
0.224,0.6277
0.225,0.6855
0.226,0.5592
0.227,0.58
0.228,0.4756
0.229,0.3559
0.23,0.2375
0.231,0.0774
0.232,0.0114
0.233,-0.0425
0.234,-0.1951
0.235,-0.2073
0.236,-0.1091
0.237,-0.1893
0.238,-0.0476
0.239,0.0822
0.24,0.2926
0.241,0.3873
0.242,0.5372
0.243,0.5492
0.244,0.5793
0.245,0.6904
0.246,0.6055
0.247,0.5672
0.248,0.4663
0.249,0.3123
0.25,0.256
0.251,0.1202
0.252,0.0025
0.253,-0.1712
0.254,-0.1581
0.255,-0.1773
0.256,-0.0743
0.257,-0.2015
0.258,-0.0966
0.259,0.1107
0.26,0.1483
0.261,0.3466
0.262,0.3882
0.263,0.6404
0.264,0.6974
0.265,0.6196
0.266,0.6659
0.267,0.5697
0.268,0.494
0.269,0.3389
0.27,0.2612
0.271,0.1432
0.272,0.015
0.273,-0.0278
0.274,-0.1536
0.275,-0.1581
0.276,-0.1354
0.277,-0.0562
0.278,0.0766
0.279,0.1273
0.28,0.1911
0.281,0.3678
0.282,0.4727
0.283,0.5533
0.284,0.583
0.285,0.6805
0.286,0.5382
0.287,0.5463
0.288,0.4522
0.289,0.4337
0.29,0.3026
0.291,0.147
0.292,-0.0662
0.293,-0.0702
0.294,-0.1639
0.295,-0.0832
0.296,-0.0493
0.297,-0.1343
0.298,0.0061
0.299,0.1464
0.3,0.231
0.301,0.2958
0.302,0.5405
0.303,0.5134
0.304,0.709
0.305,0.663
0.306,0.6861
0.307,0.5772
0.308,0.5246
0.309,0.3529
0.31,0.1918
0.311,0.036
0.312,0.1132
0.313,-0.1079
0.314,-0.13
0.315,-0.2015
0.316,-0.0571
0.317,-0.0478
0.318,0.0612
0.319,0.1171
0.32,0.2771
0.321,0.3953
0.322,0.518
0.323,0.5486
0.324,0.5988
0.325,0.7397
0.326,0.7103
0.327,0.6483
0.328,0.5793
0.329,0.4367
0.33,0.3231
0.331,0.0945
0.332,0.0938
0.333,0.0017
0.334,-0.0038
0.335,-0.1294
0.336,-0.0187
0.337,-0.0251
0.338,0.1314
0.339,0.0851
0.34,0.3086
0.341,0.3822
0.342,0.5036
0.343,0.6736
0.344,0.5942
0.345,0.6631
0.346,0.6509
0.347,0.5138
0.348,0.6292
0.349,0.4371
0.35,0.2762
0.351,0.1681
0.352,0.0952
0.353,-0.1127
0.354,-0.135
0.355,-0.0982
0.356,-0.1135
0.357,-0.0776
0.358,0.0055
0.359,0.1827
0.36,0.2887
0.361,0.4308
0.362,0.5433
0.363,0.6746
0.364,0.725
0.365,0.6996
0.366,0.6575
0.367,0.6472
0.368,0.5439
0.369,0.4243
0.37,0.2625
0.371,0.2327
0.372,0.0089
0.373,-0.0568
0.374,-0.1101
0.375,0.0043
0.376,-0.1765
0.377,0.0099
0.378,0.122
0.379,0.206
0.38,0.2153
0.381,0.3611
0.382,0.5942
0.383,0.635
0.384,0.7177
0.385,0.7137
0.386,0.568
0.387,0.641
0.388,0.5706
0.389,0.4194
0.39,0.2316
0.391,0.3254
0.392,0.0925
0.393,-0.0433
0.394,-0.1806
0.395,-0.0853
0.396,0.0371
0.397,-0.0604
0.398,0.0681
0.399,0.2146
0.4,0.2974
0.401,0.4766
0.402,0.5348
0.403,0.6702
0.404,0.6352
0.405,0.6854
0.406,0.716
0.407,0.6019
0.408,0.4698
0.409,0.4401
0.41,0.3054
0.411,0.2216
0.412,0.0385
0.413,0.0114
0.414,-0.1266
0.415,-0.1097
0.416,-0.1119
0.417,0.0101
0.418,0.1022
0.419,0.1629
0.42,0.2823
0.421,0.4811
0.422,0.6021
0.423,0.5645
0.424,0.669
0.425,0.7429
0.426,0.7034
0.427,0.6372
0.428,0.6315
0.429,0.3692
0.43,0.3455
0.431,0.2448
0.432,0.1076
0.433,-0.0157
0.434,-0.0474
0.435,-0.1669
0.436,0.013
0.437,0.0021
0.438,0.1124
0.439,0.2447
0.44,0.4321
0.441,0.4868
0.442,0.5635
0.443,0.7255
0.444,0.7048
0.445,0.6535
0.446,0.6491
0.447,0.5747
0.448,0.5289
0.449,0.367
0.45,0.1874
0.451,0.2084
0.452,0.1345
0.453,-0.0623
0.454,-0.0673
0.455,-0.0061
0.456,-0.0436
0.457,0.0255
0.458,0.0535
0.459,0.1684
0.46,0.2078
0.461,0.4745
0.462,0.5222
0.463,0.6247
0.464,0.6859
0.465,0.7794
0.466,0.7159
0.467,0.578
0.468,0.5217
0.469,0.4107
0.47,0.3773
0.471,0.2785
0.472,0.1598
0.473,0.0088
0.474,-0.0599
0.475,-0.0673
0.476,-0.1061
0.477,0.1149
0.478,0.0559
0.479,0.2366
0.48,0.3171
0.481,0.5267
0.482,0.5485
0.483,0.6228
0.484,0.7769
