Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS,Comp_RMS,Symmetry_Score,Phase_Progress,pose_score,label
1775985827.145,-95.8708,84.1292,-95.8708,100.0000,28.0000,0.9575,0.0000,0.6390,lazy
1775985827.195,-9.9240,74.2052,85.9467,100.0000,28.0000,0.9504,0.0000,0.6940,lazy
1775985827.246,0.0000,74.2052,9.9240,100.0000,28.0000,0.9504,0.0000,0.6940,lazy
1775985827.298,-3.6878,70.5174,-3.6878,100.0000,28.0000,0.9602,0.0000,0.7070,lazy
1775985827.350,0.0000,70.5174,3.6878,100.0000,28.0000,0.9602,1.0000,0.7070,lazy
1775985827.402,2.0422,72.5596,2.0422,100.0000,27.0000,0.9572,0.8500,0.7140,lazy
1775985827.455,0.0000,72.5596,-2.0422,100.0000,27.0000,0.9572,0.8500,0.7140,lazy
1775985827.507,0.0000,72.5596,0.0000,100.0000,27.0000,0.9572,0.8500,0.7140,lazy
1775985827.559,10.1590,82.7186,10.1590,100.0000,27.0000,0.9379,0.1036,0.6320,lazy
1775985827.611,42.7354,125.4540,32.5764,100.0000,26.0000,0.9175,0.0000,0.6440,lazy
1775985827.664,0.0000,125.4540,-42.7354,100.0000,26.0000,0.9175,0.0000,0.6440,lazy
1775985827.718,0.0000,125.4540,0.0000,100.0000,26.0000,0.9175,0.0000,0.6440,lazy
1775985827.770,0.0000,125.4540,0.0000,100.0000,26.0000,0.9175,0.0000,0.6440,lazy
1775985827.822,0.0000,125.4540,0.0000,85.0000,25.0000,0.9175,0.0000,0.6440,lazy
1775985827.874,0.0000,125.4540,0.0000,85.0000,24.0000,0.9175,0.0000,0.6440,lazy
1775985827.926,0.0000,125.4540,0.0000,85.0000,24.0000,0.9175,0.0000,0.6440,lazy
1775985827.978,0.5045,125.9586,0.5045,34.0000,24.0000,0.9400,0.0000,0.6660,lazy
1775985828.031,0.0000,125.9586,-0.5045,34.0000,24.0000,0.9400,0.0000,0.6660,lazy
1775985828.085,0.0000,125.9586,0.0000,33.0000,21.0000,0.9400,0.0000,0.6660,lazy
1775985828.138,0.0000,125.9586,0.0000,33.0000,21.0000,0.9400,0.0000,0.6660,lazy
1775985828.191,41.1512,167.1098,41.1512,33.0000,21.0000,0.9592,0.0000,0.6320,lazy
1775985828.244,0.0000,167.1098,-41.1512,33.0000,21.0000,0.9592,0.0000,0.6320,lazy
1775985828.298,0.0000,167.1098,0.0000,22.0000,10.0000,0.9592,0.0000,0.6320,lazy
1775985828.352,0.0000,167.1098,0.0000,21.0000,9.0000,0.9592,0.0000,0.6320,lazy
1775985828.456,0.0000,167.1098,0.0000,21.0000,9.0000,0.9592,0.0000,0.6320,lazy
1775985828.508,9.0960,176.2058,9.0960,23.0000,8.0000,0.9548,0.0000,0.7000,lazy
1775985828.560,0.0000,176.2058,-9.0960,23.0000,8.0000,0.9548,0.0000,0.7000,lazy
1775985828.613,0.0000,176.2058,0.0000,23.0000,8.0000,0.9548,0.0000,0.7000,lazy
1775985828.665,0.0000,176.2058,0.0000,25.0000,10.0000,0.9548,0.0000,0.7000,lazy
1775985828.716,0.0000,176.2058,0.0000,25.0000,10.0000,0.9548,0.0000,0.7000,lazy
1775985828.768,0.0000,176.2058,0.0000,25.0000,10.0000,0.9548,0.0000,0.7000,lazy
1775985828.821,0.0000,176.2058,0.0000,33.0000,15.0000,0.9548,0.0000,0.7000,lazy
1775985828.873,1.5560,177.7617,1.5560,33.0000,15.0000,0.9729,0.0000,0.7000,lazy
1775985828.927,0.0000,177.7617,-1.5560,33.0000,15.0000,0.9729,0.0000,0.7000,lazy
1775985828.983,0.0000,177.7617,0.0000,38.0000,16.0000,0.9729,0.0000,0.7000,lazy
1775985829.037,0.0000,177.7617,0.0000,38.0000,16.0000,0.9729,0.0000,0.7000,lazy
1775985829.090,0.0000,177.7617,0.0000,38.0000,16.0000,0.9729,0.0000,0.7000,lazy
1775985829.142,-5.4031,172.3586,-5.4031,47.0000,18.0000,0.9638,0.0504,0.6800,lazy
1775985829.194,0.0000,172.3586,5.4031,49.0000,21.0000,0.9638,0.0504,0.6800,lazy
1775985829.248,0.0000,172.3586,0.0000,49.0000,21.0000,0.9638,0.0504,0.6800,lazy
1775985829.301,0.0000,172.3586,0.0000,49.0000,21.0000,0.9638,0.0504,0.6800,lazy
1775985829.353,-25.1636,147.1949,-25.1636,52.0000,22.0000,0.9665,0.2850,0.6960,lazy
1775985829.405,0.0000,147.1949,25.1636,52.0000,22.0000,0.9665,0.2850,0.6960,lazy
1775985829.459,0.0000,147.1949,0.0000,52.0000,22.0000,0.9665,0.2850,0.6960,lazy
1775985829.512,0.0000,147.1949,0.0000,51.0000,25.0000,0.9665,0.2850,0.6960,lazy
1775985829.564,-41.3281,105.8668,-41.3281,52.0000,30.0000,0.9305,0.6704,0.6870,lazy
1775985829.616,0.0000,105.8668,41.3281,52.0000,30.0000,0.9305,0.6704,0.6870,lazy
1775985829.669,0.0000,105.8668,0.0000,52.0000,30.0000,0.9305,0.6704,0.6870,lazy
1775985829.721,-23.5476,82.3192,-23.5476,51.0000,31.0000,0.9776,0.8900,0.7080,lazy
1775985829.774,0.0000,82.3192,23.5476,51.0000,31.0000,0.9776,0.8900,0.7080,lazy
1775985829.826,0.0000,82.3192,0.0000,51.0000,31.0000,0.9776,0.8900,0.7080,lazy
1775985829.879,0.0000,82.3192,0.0000,50.0000,30.0000,0.9776,0.8900,0.7080,lazy
1775985829.932,8.6584,90.9776,8.6584,50.0000,30.0000,0.9402,0.8092,0.6700,lazy
1775985829.984,0.0000,90.9776,-8.6584,50.0000,30.0000,0.9402,0.8092,0.6700,lazy
1775985830.036,0.0000,90.9776,0.0000,50.0000,30.0000,0.9402,0.8092,0.6700,lazy
1775985830.088,0.0000,90.9776,0.0000,46.0000,28.0000,0.9402,0.8092,0.6700,lazy
1775985830.142,0.0000,90.9776,0.0000,46.0000,28.0000,0.9402,0.8092,0.6700,lazy
1775985830.195,0.0000,90.9776,0.0000,46.0000,28.0000,0.9402,0.8092,0.6700,lazy
1775985830.247,31.4516,122.4293,31.4516,46.0000,28.0000,0.9498,0.5159,0.7230,lazy
1775985830.299,0.0000,122.4293,-31.4516,46.0000,28.0000,0.9498,0.5159,0.7230,lazy
1775985830.354,0.0000,122.4293,0.0000,46.0000,28.0000,0.9498,0.5159,0.7230,lazy
1775985830.511,0.0000,122.4293,0.0000,28.0000,24.0000,0.9498,0.5159,0.7230,lazy
1775985830.563,43.7112,166.1405,43.7112,27.0000,21.0000,0.9507,0.1084,0.6620,lazy
1775985830.617,0.0000,166.1405,-43.7112,27.0000,21.0000,0.9507,0.1084,0.6620,lazy
1775985830.670,0.0000,166.1405,0.0000,27.0000,20.0000,0.9507,0.1084,0.6620,lazy
1775985830.723,12.0682,178.2087,12.0682,27.0000,10.0000,0.9632,0.0000,0.6950,lazy
