Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS,Comp_RMS,Symmetry_Score,Phase_Progress,pose_score,label
1775985712.347,-5.4523,174.5477,-5.4523,16.1602,6.0986,0.9668,0.0000,0.5850,bad
1775985712.398,-6.3884,168.1593,-0.9361,16.5515,4.6227,0.9368,0.0000,0.7040,bad
1775985712.449,0.0000,168.1593,6.3884,16.4522,10.2242,0.9368,0.0000,0.7040,bad
1775985712.501,5.2927,173.4520,5.2927,17.0409,8.0361,0.9622,0.0000,0.7100,bad
1775985712.565,2.9182,176.3702,-2.3744,18.0043,6.8772,0.9788,0.0000,0.5730,bad
1775985712.618,3.3500,179.7202,0.4317,18.4913,6.8258,0.9950,0.0000,0.6960,bad
1775985712.671,0.0000,179.7202,-3.3500,16.0007,7.7833,0.9950,0.0000,0.6960,bad
1775985712.725,-3.4276,176.2926,-3.4276,17.7179,9.6006,0.9886,0.2965,0.7010,bad
1775985712.777,0.0000,176.2926,3.4276,19.9264,6.3789,0.9886,0.2965,0.7010,bad
1775985712.829,-12.2733,164.0193,-12.2733,16.2728,8.0421,0.9810,1.0000,0.7380,bad
1775985712.881,0.0000,164.0193,12.2733,24.2716,11.1245,0.9810,1.0000,0.7380,bad
1775985712.984,4.9288,168.9480,4.9288,25.1697,9.8805,0.9653,0.6861,0.4660,bad
1775985713.036,-1.0740,167.8741,-6.0027,35.7972,9.7525,0.9971,0.7545,0.6460,bad
1775985713.088,0.0000,167.8741,1.0740,40.6304,9.2551,0.9971,0.7545,0.6460,bad
1775985713.140,-18.1296,149.7445,-18.1296,41.2550,11.0131,0.9427,1.0000,0.6490,bad
1775985713.192,0.0000,149.7445,18.1296,40.8873,10.1022,0.9427,1.0000,0.6490,bad
1775985713.249,-20.4006,129.3439,-20.4006,40.3958,9.9895,0.8852,1.0000,0.6120,bad
1775985713.303,0.0000,129.3439,20.4006,39.9617,15.2549,0.8852,1.0000,0.6120,bad
1775985713.360,-26.3739,102.9701,-26.3739,39.5353,13.2363,0.9889,1.0000,0.6760,bad
1775985713.416,0.0000,102.9701,26.3739,41.7765,14.4715,0.9889,1.0000,0.6760,bad
1775985713.469,0.0000,102.9701,0.0000,43.7987,14.2733,0.9889,1.0000,0.6760,bad
1775985713.521,66.7621,169.7322,66.7621,44.5037,17.3336,0.9387,0.1301,0.5610,bad
1775985713.573,0.0000,169.7322,-66.7621,45.5903,13.8051,0.9387,0.1301,0.5610,bad
1775985713.628,-103.9794,65.7528,-103.9794,43.8460,15.7984,0.9316,1.0000,0.6070,bad
1775985713.681,0.0000,65.7528,103.9794,43.0276,15.1067,0.9316,1.0000,0.6070,bad
1775985713.733,18.4711,84.2238,18.4711,47.6228,13.8699,0.9877,0.8379,0.6970,bad
1775985713.785,9.8270,94.0509,-8.6441,44.1012,12.1798,0.9677,0.7517,0.6740,bad
1775985713.841,0.0000,94.0509,-9.8270,46.9359,13.9663,0.9677,0.7517,0.6740,bad
1775985713.944,54.8377,148.8885,54.8377,47.7352,15.3946,0.9302,0.2705,0.5900,bad
1775985713.996,0.0000,148.8885,-54.8377,34.9898,11.3171,0.9302,0.2705,0.5900,bad
1775985714.049,0.0000,148.8885,0.0000,31.7585,14.2189,0.9302,0.2705,0.5900,bad
1775985714.157,-0.1186,148.7699,-0.1186,30.8445,14.9796,0.9590,0.2716,0.4870,bad
1775985714.209,0.0000,148.7699,0.1186,29.3873,13.1093,0.9590,0.2716,0.4870,bad
1775985714.261,0.0000,148.7699,0.0000,30.1970,14.2529,0.9590,0.2716,0.4870,bad
1775985714.313,0.0000,148.7699,0.0000,31.8617,11.1898,0.9590,0.2716,0.4870,bad
1775985714.366,29.8773,178.6472,29.8773,30.4627,6.2593,0.9787,0.0094,0.7390,bad
