Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS,Comp_RMS,Symmetry_Score,Phase_Progress,pose_score,label
1775985487.454,-9.6653,170.3347,-9.6653,10.2413,50.3791,0.9669,0.0000,0.5860,golden
1775985487.505,0.0000,170.3347,9.6653,12.2728,48.0116,0.9669,0.0000,0.5860,golden
1775985487.557,0.0000,170.3347,0.0000,13.9183,55.6947,0.9669,0.0000,0.5860,golden
1775985487.608,-10.7561,159.5786,-10.7561,14.1687,51.8766,0.9605,0.0000,0.7580,golden
1775985487.660,0.0000,159.5786,10.7561,15.4236,57.2970,0.9605,1.0000,0.7580,golden
1775985487.711,0.0000,159.5786,0.0000,16.5490,66.8248,0.9605,1.0000,0.7580,golden
1775985487.814,-31.1246,128.4540,-31.1246,15.1519,65.9387,0.9766,1.0000,0.8170,golden
1775985487.866,0.0000,128.4540,31.1246,20.5361,66.5452,0.9766,1.0000,0.8170,golden
1775985487.969,-12.9312,115.5228,-12.9312,17.8052,67.5241,0.9632,1.0000,0.7840,golden
1775985488.021,0.0000,115.5228,12.9312,21.0687,72.7056,0.9632,1.0000,0.7840,golden
1775985488.126,-28.3238,87.1989,-28.3238,24.6825,74.1404,0.9596,1.0000,0.7540,golden
1775985488.181,0.0000,87.1989,28.3238,20.1923,71.0640,0.9596,1.0000,0.7540,golden
1775985488.235,0.0000,87.1989,0.0000,18.6397,72.1040,0.9596,1.0000,0.7540,golden
1775985488.288,-20.5139,66.6850,-20.5139,22.2210,74.5896,0.9452,1.0000,0.7970,golden
1775985488.340,0.0000,66.6850,20.5139,24.3014,77.1941,0.9452,1.0000,0.7970,golden
1775985488.393,0.0000,66.6850,0.0000,25.5875,72.4573,0.9452,1.0000,0.7970,golden
1775985488.446,-6.7319,59.9531,-6.7319,20.8057,75.1719,0.9449,1.0000,0.7210,golden
1775985488.498,0.0000,59.9531,6.7319,23.3950,66.0820,0.9449,1.0000,0.7210,golden
1775985488.551,0.0000,59.9531,0.0000,21.9520,68.9539,0.9449,1.0000,0.7210,golden
1775985488.603,-5.0322,54.9210,-5.0322,22.2021,64.5603,0.9519,1.0000,0.6920,golden
1775985488.654,0.0000,54.9210,5.0322,25.5379,60.9744,0.9519,1.0000,0.6920,golden
1775985488.759,-1.5994,53.3215,-1.5994,18.4512,56.2832,0.9616,1.0000,0.7390,golden
1775985488.813,0.0000,53.3215,1.5994,19.7949,46.4184,0.9616,1.0000,0.7390,golden
1775985488.918,3.1871,56.5086,3.1871,19.5390,50.7666,0.9411,0.9728,0.6980,golden
1775985488.972,0.0000,56.5086,-3.1871,19.9644,49.2886,0.9411,0.9728,0.6980,golden
1775985489.078,17.3841,73.8927,17.3841,18.4827,49.2981,0.9397,0.8242,0.6830,golden
1775985489.130,0.0000,73.8927,-17.3841,18.0050,51.2541,0.9397,0.8242,0.6830,golden
1775985489.233,59.5837,133.4763,59.5837,16.6697,41.0952,0.9653,0.3150,0.5560,golden
1775985489.289,0.0000,133.4763,-59.5837,16.7241,45.8718,0.9653,0.3150,0.5560,golden
1775985489.393,3.6723,137.1486,3.6723,14.6551,41.7030,0.9327,0.2836,0.5990,golden
1775985489.445,0.0000,137.1486,-3.6723,16.0262,42.4870,0.9327,0.2836,0.5990,golden
1775985489.552,27.2655,164.4141,27.2655,11.3099,37.6817,0.9402,0.0506,0.6920,golden
1775985489.604,0.0000,164.4141,-27.2655,12.4299,37.1136,0.9402,0.0506,0.6920,golden
1775985489.708,7.2875,171.7017,7.2875,11.8204,36.8952,0.9507,0.0000,0.7010,golden
1775985489.760,0.0000,171.7017,-7.2875,13.5534,38.2442,0.9507,0.0000,0.7010,golden
1775985489.867,4.9765,176.6781,4.9765,11.4253,36.1980,0.9776,0.0000,0.7030,golden
1775985489.921,0.0000,176.6781,-4.9765,8.1262,41.0330,0.9776,0.0000,0.7030,golden
1775985489.975,0.0000,176.6781,0.0000,12.6786,38.7770,0.9776,0.0000,0.7030,golden
1775985490.029,-4.4023,172.2758,-4.4023,9.4271,37.1334,0.9462,0.0357,0.7240,golden
1775985490.083,0.0000,172.2758,4.4023,9.8051,41.4026,0.9462,0.0357,0.7240,golden
1775985490.186,7.5723,179.8482,7.5723,9.8922,46.1071,0.9403,0.0000,0.7770,golden
1775985490.238,0.0000,179.8482,-7.5723,12.8474,43.4184,0.9403,0.0000,0.7770,golden
1775985490.290,0.0000,179.8482,0.0000,10.1794,48.2220,0.9403,0.0000,0.7770,golden
1775985490.342,-8.0878,171.7604,-8.0878,18.7280,47.4392,0.9620,0.0639,0.7470,golden
1775985490.395,0.0000,171.7604,8.0878,20.6539,53.7112,0.9620,0.0639,0.7470,golden
1775985490.550,-7.2601,164.5003,-7.2601,19.7522,53.8967,0.9599,0.1213,0.7710,golden
1775985490.603,0.0000,164.5003,7.2601,20.4105,62.0943,0.9599,0.1213,0.7710,golden
1775985490.655,0.0000,164.5003,0.0000,21.0682,59.2051,0.9599,0.1213,0.7710,golden
1775985490.707,0.0000,164.5003,0.0000,22.3531,61.4029,0.9599,0.1213,0.7710,golden
1775985490.810,-8.1423,156.3580,-8.1423,22.8302,59.9651,0.9435,0.1857,0.5760,golden
1775985490.862,0.0000,156.3580,8.1423,23.8463,60.1866,0.9435,0.1857,0.5760,golden
1775985491.020,-23.6508,132.7073,-23.6508,23.8629,57.1646,0.9419,0.3726,0.6920,golden
1775985491.075,0.0000,132.7073,23.6508,23.4325,59.3603,0.9419,0.3726,0.6920,golden
1775985491.178,-51.2481,81.4591,-51.2481,23.5016,57.9508,0.9372,0.7776,0.6700,golden
1775985491.234,0.0000,81.4591,51.2481,24.0870,57.4957,0.9372,0.7776,0.6700,golden
1775985491.286,-23.7225,57.7367,-23.7225,25.7850,53.6878,0.9357,0.9651,0.7270,golden
1775985491.339,0.0000,57.7367,23.7225,24.6189,52.1497,0.9357,0.9651,0.7270,golden
1775985491.446,0.0000,57.7367,0.0000,19.3180,51.5970,0.9357,0.9651,0.7270,golden
1775985491.498,0.0000,57.7367,0.0000,24.7124,49.2773,0.9357,0.9651,0.7270,golden
1775985491.551,0.0000,57.7367,0.0000,24.0207,50.9029,0.9357,0.9651,0.7270,golden
1775985491.603,-9.5139,48.2228,-9.5139,23.6841,49.9688,0.9415,1.0000,0.7250,golden
1775985491.655,0.0000,48.2228,9.5139,18.8315,37.9751,0.9415,1.0000,0.7250,golden
1775985491.766,2.7565,50.9793,2.7565,21.1004,36.2842,0.9566,0.9791,0.7410,golden
1775985491.818,0.0000,50.9793,-2.7565,20.8356,37.4947,0.9566,0.9791,0.7410,golden
1775985491.872,0.0000,50.9793,0.0000,17.9630,40.2615,0.9566,0.9791,0.7410,golden
1775985491.975,0.3396,51.3188,0.3396,18.9463,40.1426,0.9633,0.9765,0.7380,golden
1775985492.027,0.0000,51.3188,-0.3396,16.8782,41.4735,0.9633,0.9765,0.7380,golden
1775985492.131,38.4629,89.7817,38.4629,15.2505,38.4932,0.9358,0.6843,0.6130,golden
