Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS,Comp_RMS,Symmetry_Score,Phase_Progress,pose_score,label
1775985827.145,-95.8708,84.1292,-95.8708,99.6257,25.4305,0.9575,0.0000,0.6390,lazy
1775985827.195,-9.9240,74.2052,85.9467,98.9070,27.7469,0.9504,0.0000,0.6940,lazy
1775985827.246,0.0000,74.2052,9.9240,97.1881,28.9467,0.9504,0.0000,0.6940,lazy
1775985827.298,-3.6878,70.5174,-3.6878,99.9891,27.0388,0.9602,0.0000,0.7070,lazy
1775985827.350,0.0000,70.5174,3.6878,97.0708,29.7380,0.9602,1.0000,0.7070,lazy
1775985827.402,2.0422,72.5596,2.0422,99.3156,29.4388,0.9572,0.8500,0.7140,lazy
1775985827.455,0.0000,72.5596,-2.0422,100.0000,26.9177,0.9572,0.8500,0.7140,lazy
1775985827.507,0.0000,72.5596,0.0000,97.8007,27.3740,0.9572,0.8500,0.7140,lazy
1775985827.559,10.1590,82.7186,10.1590,100.0000,27.4677,0.9379,0.1036,0.6320,lazy
1775985827.611,42.7354,125.4540,32.5764,98.9741,26.3948,0.9175,0.0000,0.6440,lazy
1775985827.664,0.0000,125.4540,-42.7354,99.6555,26.2340,0.9175,0.0000,0.6440,lazy
1775985827.718,0.0000,125.4540,0.0000,97.1225,24.7921,0.9175,0.0000,0.6440,lazy
1775985827.770,0.0000,125.4540,0.0000,83.9424,22.0192,0.9175,0.0000,0.6440,lazy
1775985827.822,0.0000,125.4540,0.0000,81.5089,21.5255,0.9175,0.0000,0.6440,lazy
1775985827.874,0.0000,125.4540,0.0000,75.1985,27.1842,0.9175,0.0000,0.6440,lazy
1775985827.926,0.0000,125.4540,0.0000,30.4274,24.0943,0.9175,0.0000,0.6440,lazy
1775985827.978,0.5045,125.9586,0.5045,32.5295,22.0817,0.9400,0.0000,0.6660,lazy
1775985828.031,0.0000,125.9586,-0.5045,31.0671,22.5543,0.9400,0.0000,0.6660,lazy
1775985828.085,0.0000,125.9586,0.0000,33.4767,19.5351,0.9400,0.0000,0.6660,lazy
1775985828.138,0.0000,125.9586,0.0000,35.3505,21.5340,0.9400,0.0000,0.6660,lazy
1775985828.191,41.1512,167.1098,41.1512,25.4231,12.7512,0.9592,0.0000,0.6320,lazy
