Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS,Comp_RMS,Symmetry_Score,Phase_Progress,pose_score,label
1776503967.7740,68.9993,62.6013,10.3907,2.4495,5.4467,0.1579,0.0000,1.0000,bad
1776503967.7907,69.1695,63.7318,-402.6683,2.9002,6.2797,0.2032,0.0170,1.0000,bad
1776503967.8074,69.3397,64.8623,-815.7273,3.3510,7.1127,0.2484,0.0339,1.0000,bad
1776503967.8237,42.9223,66.0038,-496.7637,4.1259,8.9002,0.3423,0.0509,1.0000,bad
1776503967.8399,15.5553,67.1457,-151.6565,4.9124,10.7218,0.4378,0.0678,1.0000,bad
1776503967.8561,35.2468,66.5783,-247.2747,6.2971,11.8734,0.6333,0.0847,1.0000,bad
1776503967.8723,58.4242,65.8843,-375.5392,7.7262,12.9754,0.8361,0.1017,1.0000,bad
1776503967.8890,28.6196,68.2216,-1900.4102,8.4349,13.9314,0.6797,0.1186,1.0000,bad
1776503967.9057,-7.2984,70.9086,-3586.4282,9.0606,14.8705,0.4818,0.1356,1.0000,bad
1776503967.9220,-89.1697,68.6167,-2708.2700,9.5225,15.4502,0.4973,0.1525,1.0000,bad
1776503967.9382,-178.3935,65.5282,-1419.8437,9.9582,15.9724,0.5470,0.1695,1.0000,bad
1776503967.9544,-152.4166,62.2967,1231.8986,10.3457,17.2395,0.5330,0.1864,1.0000,bad
1776503967.9706,-102.4395,59.0354,4167.6650,10.7231,18.6618,0.5057,0.2034,1.0000,bad
1776503967.9873,-7.6386,58.5537,4525.7562,11.9071,19.9334,0.4850,0.2203,1.0000,bad
1776503968.0040,98.8554,58.7970,4211.4103,13.3016,21.1657,0.4661,0.2373,1.0000,bad
1776503968.0203,146.5765,61.7676,2237.3854,15.8024,25.4134,0.5087,0.2543,1.0000,bad
1776503968.0365,175.5972,65.6059,-264.7191,18.6552,30.6207,0.5710,0.2712,1.0000,bad
1776503968.0527,139.9280,68.2420,-1648.5086,21.6869,37.2440,0.5157,0.2881,1.0000,bad
1776503968.0690,79.6149,70.4200,-2606.2733,24.7868,44.4068,0.4157,0.3051,1.0000,bad
1776503968.0855,36.8762,70.9700,-2203.4083,27.8626,50.3580,0.3602,0.3220,1.0000,bad
1776503968.1022,2.0459,70.7875,-1188.2600,30.9275,55.7640,0.3247,0.3390,1.0000,bad
1776503968.1186,-5.1401,70.6302,-529.1660,32.6556,59.9086,0.2989,0.3559,1.0000,bad
1776503968.1348,2.2234,70.4862,-57.4691,33.6800,63.3893,0.2782,0.3729,1.0000,bad
1776503968.1511,2.9162,70.6230,76.4337,34.0686,64.6111,0.2895,0.3898,1.0000,bad
1776503968.1673,-0.4676,70.9314,3.9067,34.0686,64.4525,0.3205,0.4068,1.0000,bad
1776503968.1838,-0.3856,70.8424,106.5603,33.1207,64.2934,0.3273,0.4237,1.0000,bad
1776503968.2005,2.1428,70.4728,332.8708,31.5037,64.1340,0.3171,0.4407,1.0000,bad
1776503968.2169,9.7333,70.5702,308.5628,29.9114,62.8125,0.3282,0.4577,1.0000,bad
1776503968.2332,21.4369,71.0472,80.6272,28.3392,60.5469,0.3567,0.4746,1.0000,bad
1776503968.2494,20.5348,71.4898,-272.4575,26.6186,57.5721,0.4089,0.4915,1.0000,bad
1776503968.2656,7.8676,71.9005,-742.3479,24.7594,53.9355,0.4832,0.5085,1.0000,bad
1776503968.2821,-8.1574,71.9355,-1048.1124,23.0119,50.0039,0.5561,0.5254,1.0000,bad
1776503968.2988,-27.7799,71.5679,-1178.0277,21.3840,45.7562,0.6274,0.5423,1.0000,bad
1776503968.3153,-48.1671,70.9628,-1421.6702,19.7862,41.5842,0.7272,0.5593,1.0000,bad
1776503968.3315,-69.4954,70.0652,-1805.2845,18.2257,37.5052,0.8621,0.5763,1.0000,bad
1776503968.3477,-100.7003,68.7987,-1158.2211,16.5163,34.7729,0.8967,0.5932,1.0000,bad
1776503968.3639,-145.8970,67.0093,948.9691,14.5959,33.9483,0.7890,0.6102,1.0000,bad
1776503968.3803,-128.7550,64.4153,3013.3296,12.8124,33.1072,0.7401,0.6271,1.0000,bad
1776503968.3971,-9.6040,60.5046,5007.6054,11.2526,32.2390,0.7873,0.6441,1.0000,bad
1776503968.4136,98.7208,60.0646,5202.1250,9.8132,31.4591,0.8028,0.6610,1.0000,bad
1776503968.4298,186.4758,66.2185,1977.1082,8.6025,30.8470,0.7581,0.6780,1.0000,bad
1776503968.4460,217.2499,71.0646,-828.1105,7.5673,29.9909,0.7181,0.6949,1.0000,bad
1776503968.4623,121.3998,73.0043,-2700.4444,6.9222,28.5927,0.6883,0.7119,1.0000,bad
1776503968.4786,41.7656,74.3438,-3558.0691,6.3057,26.9904,0.6516,0.7288,1.0000,bad
1776503968.4953,4.6983,74.1078,-1752.0816,5.7646,24.8525,0.5970,0.7457,1.0000,bad
1776503968.5119,-17.4961,73.8004,141.6556,5.2754,22.8265,0.5556,0.7627,1.0000,bad
1776503968.5281,7.0530,73.2689,2311.1777,4.9491,21.1522,0.5556,0.7797,1.0000,bad
1776503968.5444,48.7783,73.1372,3866.7070,4.7286,19.6073,0.5572,0.7966,1.0000,bad
1776503968.5606,156.3458,74.5378,3068.5976,4.9133,18.5592,0.5650,0.8136,1.0000,bad
1776503968.5769,240.4261,76.8417,1704.2638,5.1638,17.6332,0.5936,0.8305,1.0000,bad
1776503968.5936,211.7679,83.4813,-2377.9476,5.7301,17.2931,0.7223,0.8475,1.0000,bad
1776503968.6102,164.3618,89.1349,-5840.7835,6.3503,17.2051,0.8192,0.8644,1.0000,bad
1776503968.6265,-0.2181,88.6249,-5432.5230,7.3071,18.6919,0.7168,0.8814,1.0000,bad
1776503968.6427,-147.9216,87.7195,-4770.9362,8.3515,20.3645,0.6186,0.8983,1.0000,bad
1776503968.6589,-149.3624,83.3872,-1913.8549,10.1540,23.6465,0.5572,0.9153,1.0000,bad
1776503968.6752,-148.9182,79.3119,716.6408,12.0133,26.8822,0.4979,0.9322,1.0000,bad
1776503968.6919,-123.0261,78.7059,288.2304,14.6397,29.4939,0.4672,0.9491,1.0000,bad
1776503968.7086,-99.0613,78.0309,-154.3177,17.1587,31.9573,0.4367,0.9661,1.0000,bad
1776503968.7248,-129.0629,75.4248,-992.7234,16.6674,30.2674,0.4140,0.9830,1.0000,bad
1776503968.7410,-159.0644,72.8186,-1831.1291,16.1761,28.5774,0.3913,1.0000,1.0000,bad
