Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS,Comp_RMS,Symmetry_Score,Phase_Progress,pose_score,label
1776503967.4010,-74.1854,75.9447,1340.9912,6.5828,9.8319,0.5625,0.0000,1.0000,golden
1776503967.4177,-52.2144,74.7293,927.9558,7.1439,11.8277,0.5154,0.0170,1.0000,golden
1776503967.4344,-30.2433,73.5138,514.9205,7.7051,13.8236,0.4683,0.0339,1.0000,golden
1776503967.4507,-34.8585,73.7126,224.2094,7.2303,16.7671,0.5220,0.0509,1.0000,golden
1776503967.4669,-40.4231,73.9618,-62.1330,6.7186,19.7446,0.5793,0.0678,1.0000,golden
1776503967.4831,-38.1241,72.5020,516.1038,6.8500,24.4803,0.5276,0.0847,1.0000,golden
1776503967.4993,-35.2425,70.9155,1158.3835,7.0290,29.3462,0.4677,0.1017,1.0000,golden
1776503967.5160,-1.5443,71.1471,1286.3692,7.9161,34.2951,0.4437,0.1186,1.0000,golden
1776503967.5327,35.7097,71.5885,1355.0133,8.8849,39.2536,0.4238,0.1356,1.0000,golden
1776503967.5490,47.2774,72.4228,803.2825,9.7870,43.6822,0.4637,0.1525,1.0000,golden
1776503967.5652,54.7352,73.3199,152.2918,10.6784,48.0261,0.5132,0.1695,1.0000,golden
1776503967.5814,50.9352,74.2513,-166.8815,15.1408,50.8061,0.5419,0.1864,1.0000,golden
1776503967.5976,44.7898,75.1899,-416.9262,20.3471,53.2602,0.5663,0.2034,1.0000,golden
1776503967.6143,36.2124,75.7707,-429.0972,25.7425,54.6381,0.6204,0.2203,1.0000,golden
1776503967.6310,27.0005,76.2581,-379.2141,31.1871,55.7352,0.6821,0.2373,1.0000,golden
1776503967.6473,22.6378,76.6219,-571.8938,38.2247,56.1250,0.6320,0.2543,1.0000,golden
1776503967.6635,19.8180,76.9464,-841.7525,45.7693,56.2898,0.5463,0.2712,1.0000,golden
1776503967.6797,-0.6582,77.2528,-1069.3882,50.8494,56.1023,0.4744,0.2881,1.0000,golden
1776503967.6960,-27.8606,77.5523,-1280.9388,54.9908,55.7805,0.4078,0.3051,1.0000,golden
1776503967.7125,-47.9739,76.6183,-674.0191,57.5516,54.5175,0.3670,0.3220,1.0000,golden
1776503967.7292,-64.8971,75.1292,301.2122,59.4011,52.8310,0.3379,0.3390,1.0000,golden
1776503967.7456,-45.9587,74.0728,964.7799,58.9914,50.3693,0.3240,0.3559,1.0000,golden
1776503967.7618,-8.1457,73.2440,1464.3141,57.3926,47.4997,0.3181,0.3729,1.0000,golden
1776503967.7781,16.3635,73.5701,1134.9887,55.5608,44.2437,0.3133,0.3898,1.0000,golden
1776503967.7943,32.7426,74.6019,299.1379,53.5868,40.7515,0.3093,0.4068,1.0000,golden
1776503967.8108,29.0209,75.1832,-119.4614,51.1869,37.8367,0.3131,0.4237,1.0000,golden
1776503967.8275,11.1106,75.4463,-243.5303,48.4864,35.3293,0.3224,0.4407,1.0000,golden
1776503967.8439,7.5551,75.4748,-164.8479,45.4842,32.9343,0.3329,0.4577,1.0000,golden
1776503967.8602,15.6629,75.3126,78.5699,42.2370,30.6305,0.3444,0.4746,1.0000,golden
1776503967.8764,18.7067,75.6500,-49.1199,38.4295,28.3254,0.3430,0.4915,1.0000,golden
1776503967.8926,17.0242,76.4538,-523.1768,34.0990,26.0191,0.3296,0.5085,1.0000,golden
1776503967.9091,4.8110,76.7370,-696.1114,29.8978,23.5709,0.3323,0.5254,1.0000,golden
1776503967.9258,-18.6850,76.4626,-546.4150,25.8352,20.9708,0.3525,0.5423,1.0000,golden
1776503967.9423,-27.9288,75.9693,-326.2239,22.0601,18.5709,0.4010,0.5593,1.0000,golden
1776503967.9585,-19.6316,75.2067,-19.2702,18.6389,16.4173,0.4844,0.5763,1.0000,golden
1776503967.9747,-16.0225,74.8749,160.4674,15.6768,15.2365,0.5728,0.5932,1.0000,golden
1776503967.9909,-19.0549,75.1537,159.9822,13.3652,15.4338,0.6681,0.6102,1.0000,golden
1776503968.0073,-17.8021,74.9607,102.0298,11.5169,16.0102,0.7160,0.6271,1.0000,golden
1776503968.0241,-9.5372,73.9959,-49.9599,10.4267,17.2067,0.6862,0.6441,1.0000,golden
1776503968.0406,-8.6620,73.6499,-217.2773,9.7781,18.7703,0.7044,0.6610,1.0000,golden
1776503968.0568,-21.8270,74.4797,-413.7171,9.9683,21.0313,0.8136,0.6780,1.0000,golden
1776503968.0730,-32.4057,74.4801,-411.4718,10.6224,23.3305,0.8840,0.6949,1.0000,golden
1776503968.0893,-37.2367,72.6375,32.2958,12.3075,25.7145,0.8684,0.7119,1.0000,golden
1776503968.1056,-36.2056,71.4434,376.5727,13.8966,28.4053,0.8689,0.7288,1.0000,golden
1776503968.1223,-19.7862,71.9511,459.6864,15.2337,31.9018,0.9118,0.7457,1.0000,golden
1776503968.1389,-7.1588,72.1557,571.4259,16.8128,35.8055,0.9444,0.7627,1.0000,golden
1776503968.1551,-6.4489,71.4078,773.1324,19.1524,40.9889,0.9444,0.7797,1.0000,golden
1776503968.1714,0.2934,70.9295,885.5570,21.6410,46.1172,0.9109,0.7966,1.0000,golden
1776503968.1876,30.1599,71.4845,655.7339,24.7011,51.0339,0.7492,0.8136,1.0000,golden
1776503968.2039,52.3578,72.1581,395.5265,27.6613,56.1031,0.6093,0.8305,1.0000,golden
1776503968.2206,37.7461,73.4014,-10.5251,30.1417,61.9043,0.5736,0.8475,1.0000,golden
1776503968.2372,25.5355,74.4153,-376.2934,32.9878,67.5083,0.5429,0.8644,1.0000,golden
1776503968.2535,28.3320,73.9962,-490.2912,38.1193,71.8792,0.5429,0.8814,1.0000,golden
1776503968.2697,28.5413,73.7684,-621.1586,43.0517,75.9178,0.5347,0.8983,1.0000,golden
1776503968.2859,6.3298,75.1980,-898.2298,46.2586,77.0757,0.4555,0.9153,1.0000,golden
1776503968.3022,-15.4310,76.3981,-1097.7656,49.3847,77.9492,0.3867,0.9322,1.0000,golden
1776503968.3189,-31.1060,74.4982,-250.5748,51.4201,74.9836,0.4582,0.9491,1.0000,golden
1776503968.3356,-45.0588,72.6771,593.2351,53.2079,71.8027,0.5262,0.9661,1.0000,golden
1776503968.3518,-10.7909,73.0617,1342.3769,48.0613,62.5909,0.4931,0.9830,1.0000,golden
1776503968.3680,23.4769,73.4464,2091.5188,42.9146,53.3791,0.4600,1.0000,1.0000,golden
