Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS,Comp_RMS,Symmetry_Score,Phase_Progress,pose_score,label
1775978331.534,-151.9008,28.0992,-151.9008,100.0000,42.1000,0.9609,0.0000,0.1700,golden
1775978331.585,144.9122,173.0114,296.8130,5.6000,2.3000,0.9657,0.0000,0.1450,golden
1775978331.652,0.0000,173.0114,-144.9122,5.6000,2.3000,0.9657,0.0000,0.1450,golden
1775978331.704,-2.9034,170.1080,-2.9034,5.6000,2.3000,0.8647,0.0000,0.2320,golden
1775978331.755,-154.4736,15.6345,-151.5702,7.2000,0.3000,0.9355,1.0000,0.2870,golden
1775978331.807,0.0000,15.6345,154.4736,100.0000,43.1000,0.9355,1.0000,0.2870,golden
1775978331.859,73.8394,89.4739,73.8394,100.0000,43.1000,0.9396,0.5308,0.2640,golden
1775978331.912,0.0000,89.4739,-73.8394,77.1000,27.1000,0.9396,0.5308,0.2640,golden
1775978331.964,0.0000,89.4739,0.0000,81.0000,23.2000,0.9396,0.5308,0.2640,golden
1775978332.015,-59.7928,29.6811,-59.7928,100.0000,38.8000,0.9920,0.9107,0.1760,golden
1775978332.068,58.2689,87.9499,118.0617,100.0000,38.8000,0.9682,0.5405,0.1680,golden
1775978332.120,0.0000,87.9499,-58.2689,78.6000,27.3000,0.9682,0.5405,0.1680,golden
1775978332.171,-80.9035,7.0464,-80.9035,78.6000,27.3000,0.9374,1.0000,0.2010,golden
1775978332.228,5.9535,13.0000,86.8570,100.0000,47.5000,0.9155,0.9641,0.2820,golden
1775978332.282,0.0000,13.0000,-5.9535,100.0000,44.7000,0.9155,0.9641,0.2820,golden
1775978332.334,19.7576,32.7576,19.7576,100.0000,41.6000,0.9745,0.8451,0.3170,golden
1775978332.387,-11.7649,20.9927,-31.5226,100.0000,41.6000,0.9038,0.9160,0.2370,golden
1775978332.439,0.0000,20.9927,11.7649,100.0000,42.8000,0.9038,0.9160,0.2370,golden
1775978332.494,-17.4386,3.5540,-17.4386,100.0000,42.8000,0.8930,1.0000,0.3130,golden
1775978332.546,140.0211,143.5751,157.4597,100.0000,49.2000,0.9495,0.1737,0.1530,golden
1775978332.598,0.0000,143.5751,-140.0211,6.8000,3.6000,0.9495,0.1737,0.1530,golden
1775978332.651,-121.9754,21.5997,-121.9754,6.8000,3.6000,0.9752,0.8935,0.3140,golden
1775978332.702,0.0000,21.5997,121.9754,100.0000,43.5000,0.9752,0.8935,0.3140,golden
1775978332.755,7.8233,29.4230,7.8233,100.0000,42.0000,0.9633,0.8473,0.1360,golden
1775978332.807,0.0000,29.4230,-7.8233,100.0000,42.0000,0.9633,0.8473,0.1360,golden
