Timestamp,Ang_Vel,Angle,Target_RMS,Comp_RMS
1775551505.282,0.00,180.00,9.61,8.36
1775551505.333,0.00,180.00,6.46,12.90
1775551505.384,0.00,180.00,7.74,13.69
1775551505.434,0.00,180.00,6.50,9.59
1775551505.485,0.00,180.00,11.60,8.41
1775551505.536,0.00,180.00,9.60,12.80
1775551505.586,0.00,180.00,5.60,13.96
1775551505.637,0.00,180.00,73.87,14.56
1775551505.688,0.00,180.00,75.33,18.61
1775551505.739,0.00,180.00,81.60,19.30
1775551505.790,0.00,180.00,78.40,19.56
1775551505.840,0.00,180.00,78.80,16.41
1775551505.891,0.00,180.00,84.67,17.77
1775551505.942,0.00,180.00,81.39,16.26
1775551505.997,0.00,180.00,80.38,23.25
1775551506.051,0.00,180.00,85.35,22.86
1775551506.104,0.00,180.00,86.95,16.31
1775551506.155,0.00,180.00,82.38,21.78
1775551506.206,0.00,180.00,86.35,22.58
1775551506.257,0.00,180.00,90.74,24.26
1775551506.308,0.00,180.00,89.94,21.76
1775551506.360,0.00,180.00,88.51,17.87
1775551506.411,0.00,180.00,84.58,19.14
1775551506.465,0.00,180.00,90.90,18.82
1775551506.518,0.00,180.00,84.40,24.82
1775551506.570,0.00,180.00,82.55,24.07
1775551506.622,0.00,180.00,84.33,23.24
1775551506.673,0.00,180.00,85.62,24.23
1775551506.723,0.00,180.00,89.81,18.75
1775551506.774,0.00,180.00,87.77,22.02
1775551506.825,0.00,180.00,83.38,24.08
1775551506.876,0.00,180.00,89.59,17.67
1775551506.939,0.00,180.00,84.04,16.48
1775551506.989,0.00,180.00,87.60,18.41
1775551507.040,0.00,180.00,85.31,14.43
1775551507.091,0.00,180.00,77.24,17.98
1775551507.141,0.00,180.00,79.93,13.16
1775551507.192,0.00,180.00,78.07,12.64
1775551507.243,0.00,180.00,80.97,19.18
1775551507.293,0.00,180.00,74.47,17.87
1775551507.344,0.00,180.00,74.63,15.14
1775551507.395,0.00,180.00,76.59,17.95
1775551507.445,0.00,180.00,78.48,12.68
1775551507.496,0.00,180.00,14.35,6.56
1775551507.547,0.00,180.00,12.03,5.77
1775551507.598,0.00,180.00,8.13,5.31
1775551507.648,0.00,180.00,6.55,6.63
1775551507.699,0.00,180.00,12.17,5.76
1775551507.750,0.00,180.00,9.27,11.90
1775551507.800,0.00,180.00,5.84,12.85
1775551507.851,0.00,180.00,5.31,11.99
1775551507.902,0.00,180.00,5.11,7.06
1775551507.952,0.00,180.00,5.26,9.69
1775551508.003,0.00,180.00,8.06,5.96
1775551508.054,0.00,180.00,9.52,13.08
1775551508.104,0.00,180.00,9.61,11.52
1775551508.155,0.00,180.00,12.34,8.71
1775551508.206,0.00,180.00,8.88,6.35
1775551508.256,0.00,180.00,8.34,11.24
1775551508.307,0.00,180.00,6.99,9.88
1775551508.357,0.00,180.00,11.86,14.06
1775551508.408,0.00,180.00,13.04,13.05
1775551508.459,0.00,180.00,9.00,11.46
1775551508.509,0.00,180.00,8.53,14.51
1775551508.560,0.00,180.00,5.47,12.69
1775551508.611,0.00,180.00,11.17,5.87
1775551508.662,0.00,180.00,75.96,18.51
1775551508.712,0.00,180.00,76.60,10.99
1775551508.763,0.00,180.00,79.44,20.66
1775551508.814,0.00,180.00,74.97,20.59
1775551508.865,0.00,180.00,79.25,15.33
1775551508.916,0.00,180.00,80.24,12.94
1775551508.966,0.00,180.00,82.26,21.36
1775551509.017,0.00,180.00,84.80,22.41
1775551509.068,0.00,180.00,81.78,18.61
1775551509.118,0.00,180.00,80.29,22.47
1775551509.169,0.00,180.00,84.95,22.06
1775551509.219,0.00,180.00,81.34,22.50
1775551509.270,0.00,180.00,81.77,23.82
1775551509.321,0.00,180.00,86.34,22.05
1775551509.371,0.00,180.00,83.53,18.35
1775551509.422,0.00,180.00,84.85,23.66
1775551509.473,0.00,180.00,88.34,19.65
1775551509.524,0.00,180.00,86.79,16.06
1775551509.574,0.00,180.00,91.67,19.03
1775551509.625,0.00,180.00,82.47,19.20
1775551509.676,0.00,180.00,86.10,24.74
1775551509.726,0.00,180.00,83.67,18.21
1775551509.777,0.00,180.00,87.49,19.13
1775551509.827,0.00,180.00,86.21,25.59
1775551509.878,0.00,180.00,90.51,23.75
1775551509.929,0.00,180.00,83.04,17.41
1775551509.980,0.00,180.00,86.51,17.64
1775551510.030,0.00,180.00,80.24,15.11
1775551510.081,0.00,180.00,86.14,19.26
1775551510.132,0.00,180.00,81.83,15.71
1775551510.183,0.00,180.00,77.62,14.56
1775551510.233,0.00,180.00,79.41,21.61
1775551510.284,0.00,180.00,74.37,15.94
1775551510.335,0.00,180.00,76.29,16.88
1775551510.386,0.00,180.00,76.89,18.97
1775551510.436,0.00,180.00,74.01,16.92
1775551510.487,0.00,180.00,72.86,14.19
1775551510.538,0.00,180.00,8.98,12.42
1775551510.588,0.00,180.00,13.63,13.02
1775551510.640,0.00,180.00,12.58,6.43
1775551510.690,0.00,180.00,10.83,13.61
1775551510.741,0.00,180.00,14.05,14.03
1775551510.792,0.00,180.00,8.76,13.89
1775551510.842,0.00,180.00,8.42,7.42
1775551510.893,0.00,180.00,10.32,6.66
1775551510.944,0.00,180.00,5.77,13.72
1775551510.994,0.00,180.00,7.66,14.86
1775551511.045,0.00,180.00,12.58,12.30
1775551511.096,0.00,180.00,8.11,10.95
1775551511.146,0.00,180.00,14.43,11.45
1775551511.197,0.00,180.00,13.81,5.30
1775551511.248,0.00,180.00,10.51,6.64
1775551511.298,0.00,180.00,10.29,13.68
1775551511.349,0.00,180.00,6.05,9.76
1775551511.400,0.00,180.00,7.67,12.26
1775551511.451,0.00,180.00,5.01,12.07
1775551511.501,0.00,180.00,6.75,10.38
1775551511.552,0.00,180.00,10.65,12.69
1775551511.602,0.00,180.00,6.96,6.54
1775551511.654,0.00,180.00,5.09,9.35
1775551511.704,0.00,180.00,73.87,14.86
1775551511.756,0.00,180.00,79.70,14.59
1775551511.806,0.00,180.00,78.00,11.70
1775551511.857,0.00,180.00,79.10,20.42
1775551511.908,0.00,180.00,81.21,14.09
1775551511.958,0.00,180.00,83.92,17.40
1775551512.009,0.00,180.00,79.18,13.06
