Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS_Norm,Comp_RMS_Norm,Symmetry_Score,Phase_Progress,Target_MDF,Target_MNF,Target_ZCR,Target_Raw_Unfilt,label
1776442139.314416,-217.7398,170.4015,-28478.3547,0.274505,0.203334,0.919007,0.002664,0.890741,0.926284,0.495595,0.330840,2
1776442139.319416,-360.1316,169.3128,-593.5468,0.291641,0.254234,0.914924,0.013040,0.860486,0.917005,0.472838,0.333295,2
1776442139.324416,-223.6753,166.8002,18757.3781,0.296357,0.223832,0.865508,0.000000,0.874005,0.933384,0.493044,0.374896,2
1776442139.329416,-172.5578,167.0760,12599.0242,0.277709,0.268220,0.912937,0.000000,0.874720,0.948861,0.501597,0.377684,2
1776442139.334416,-97.6850,165.0746,-6117.1681,0.259852,0.275103,0.908554,0.007347,0.865195,0.976113,0.491472,0.365487,2
1776442139.339416,-233.7295,166.0992,-28176.4654,0.288151,0.243216,0.844885,0.017981,0.884693,0.955914,0.494481,0.363558,2
1776442139.344416,-379.4497,162.7373,-1908.0002,0.275951,0.243687,0.893549,0.014141,0.868323,0.953884,0.536090,0.361856,2
1776442139.349416,-252.8095,162.3047,9232.8066,0.293234,0.264797,0.886526,0.030581,0.836965,0.923650,0.523837,0.373879,2
1776442139.354416,-287.1216,160.2092,9464.7155,0.301732,0.278433,0.879376,0.036077,0.858344,0.940737,0.515041,0.363445,2
1776442139.359416,-158.1623,159.4335,2411.6519,0.298839,0.258746,0.922712,0.031317,0.854491,0.990928,0.497670,0.352173,2
1776442139.364416,-263.0051,158.6276,-14556.1880,0.321587,0.270131,0.906932,0.044011,0.889727,0.968383,0.518233,0.382092,2
1776442139.369416,-303.7242,156.8034,6793.1934,0.338856,0.282338,0.911455,0.028122,0.885447,0.949326,0.489552,0.369697,2
1776442139.374416,-195.0732,155.5904,15476.4954,0.343733,0.305266,0.882899,0.060641,0.853385,0.943010,0.477958,0.398373,2
1776442139.379416,-148.9593,154.8527,-5311.2297,0.323691,0.274834,0.859586,0.032098,0.896439,0.940374,0.505219,0.363266,2
1776442139.384416,-248.1855,154.1008,-8363.0344,0.289246,0.246380,0.866564,0.060454,0.888502,0.950737,0.541315,0.362772,2
