Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS_Norm,Comp_RMS_Norm,Symmetry_Score,Phase_Progress,Target_MDF,Target_MNF,Target_ZCR,Target_Raw_Unfilt,label
1776442139.298506,-340.391846,147.992591,10405.016184,0.386700,0.648670,0.834638,0.004981,0.917822,0.991518,0.490473,0.424415,1
1776442139.303506,-352.562232,147.300071,-11563.380548,0.391662,0.666013,0.813815,0.037359,0.923110,0.944837,0.475911,0.464241,1
1776442139.308506,-454.328405,144.355419,-8826.087190,0.373102,0.686419,0.810189,0.055775,0.894906,0.948034,0.464128,0.427355,1
1776442139.313506,-439.527720,142.612918,13843.995172,0.410796,0.764030,0.795326,0.068441,0.894283,0.963583,0.457488,0.453195,1
1776442139.318506,-317.920469,139.820950,21097.567904,0.387897,0.697081,0.843174,0.078099,0.921899,0.964691,0.487649,0.451797,1
1776442139.323506,-231.648658,139.333103,-12648.366937,0.381319,0.786476,0.818591,0.100963,0.934733,0.956075,0.450720,0.456135,1
1776442139.328506,-442.547634,137.431137,-15528.258687,0.380301,0.807813,0.838703,0.074029,0.919019,0.962646,0.478057,0.417767,1
1776442139.333506,-384.652077,134.767502,3595.566429,0.351186,0.804235,0.797121,0.101066,0.921037,0.985387,0.478200,0.450334,1
1776442139.338506,-407.119769,133.462809,-8335.602477,0.362991,0.803957,0.755545,0.116960,0.918726,0.929548,0.437693,0.442411,1
1776442139.343506,-466.784628,130.567374,9208.541722,0.405081,0.848314,0.801936,0.103071,0.907366,0.899265,0.480627,0.410778,1
1776442139.348506,-316.385912,128.647222,15552.317168,0.402393,0.816635,0.818266,0.132901,0.964769,0.967364,0.480187,0.405542,1
1776442139.353506,-313.544173,127.303382,2597.102554,0.410980,0.823245,0.823594,0.135353,0.895805,0.962400,0.485319,0.469435,1
1776442139.358506,-290.796122,125.412513,-10305.296468,0.380440,0.892245,0.822386,0.154773,0.981184,0.977975,0.473336,0.409362,1
1776442139.363506,-415.084565,124.303350,-20015.531286,0.424248,0.885222,0.809968,0.124387,0.916778,0.985090,0.489272,0.465269,1
1776442139.368506,-488.013560,121.130290,7963.245072,0.389763,0.913673,0.803616,0.136457,0.922188,1.001429,0.479340,0.391738,1
1776442139.373506,-336.620888,119.268704,18053.323566,0.427575,0.904003,0.772846,0.126651,0.884041,0.998040,0.463901,0.442267,1
1776442139.378506,-310.130163,117.657515,-3061.452331,0.397348,0.876850,0.795081,0.164095,0.948607,0.994714,0.478923,0.462858,1
1776442139.383506,-366.786063,116.069238,-2245.801803,0.429634,0.878663,0.794049,0.145963,0.923195,0.991918,0.419719,0.466551,1
1776442139.388506,-332.258535,113.873516,11415.340398,0.393225,0.917271,0.829072,0.190165,0.911632,0.974037,0.469530,0.467853,1
1776442139.393506,-254.308170,112.641466,8182.418245,0.366698,0.869719,0.832423,0.112331,0.955149,0.980351,0.458779,0.415451,1
1776442139.398506,-251.635344,111.249952,-13769.899844,0.375316,0.878098,0.810933,0.139447,0.931360,0.982878,0.467130,0.450647,1
1776442139.403506,-389.986076,110.045438,-6504.668222,0.405357,0.872083,0.824793,0.160670,0.943227,0.977382,0.479419,0.456822,1
1776442139.408506,-315.727291,107.226551,9431.474102,0.423263,0.882633,0.833552,0.168742,0.950737,0.988547,0.475873,0.451564,1
1776442139.413506,-297.055655,106.788228,-5761.635963,0.391249,0.861184,0.788723,0.169538,0.942762,0.939775,0.466177,0.430297,1
1776442139.418506,-372.498025,104.161992,-10175.783082,0.407337,0.850219,0.796134,0.187898,0.901370,0.996700,0.485055,0.411604,1
1776442139.423506,-397.319939,102.945252,-6350.583987,0.446268,0.811048,0.798192,0.182841,0.917919,0.959559,0.439680,0.432556,1
1776442139.428506,-435.071649,100.062969,19313.093633,0.412810,0.814792,0.811277,0.147657,0.888655,0.972120,0.479671,0.469521,1
1776442139.433506,-207.023742,98.456814,19889.363089,0.388983,0.825522,0.815555,0.184030,0.933853,0.990162,0.474522,0.430119,1
1776442139.438506,-239.097354,97.927252,-5053.003518,0.422010,0.764070,0.815109,0.189752,0.902256,0.971573,0.491178,0.447975,1
1776442139.443506,-256.812083,95.990146,-14725.985584,0.418169,0.739362,0.801851,0.237415,0.888487,0.968786,0.452248,0.419985,1
1776442139.448506,-384.195833,95.277795,-13529.149361,0.455371,0.663313,0.782773,0.213853,0.933395,0.989609,0.496660,0.510083,1
1776442139.453506,-390.117740,92.026544,18154.770308,0.420699,0.690016,0.828848,0.226743,0.929411,0.953566,0.477207,0.457543,1
1776442139.458506,-205.312803,91.253058,10845.535008,0.391608,0.676035,0.780481,0.249718,0.918362,0.956063,0.453335,0.442298,1
1776442139.463506,-283.254305,89.908499,-10844.908322,0.419808,0.639986,0.789931,0.215483,0.923893,0.996238,0.470675,0.453600,1
1776442139.468506,-312.170064,88.330908,-2484.588231,0.457536,0.605749,0.780096,0.215851,0.899309,0.985003,0.493030,0.483379,1
1776442139.473506,-307.735505,86.687970,13148.961513,0.418513,0.564070,0.804791,0.251294,0.928380,1.001454,0.513812,0.478557,1
1776442139.478506,-182.610465,85.156102,3523.760325,0.435678,0.558978,0.791293,0.241671,0.919264,0.973188,0.481789,0.489039,1
1776442139.483506,-273.015162,84.803985,-24586.455570,0.413636,0.514567,0.805091,0.206262,0.933200,0.937356,0.435766,0.433986,1
1776442139.488506,-424.866269,82.339474,-6219.615072,0.441576,0.488766,0.786315,0.258923,0.926629,0.946412,0.458334,0.460625,1
1776442139.493506,-334.298337,80.420863,17033.762099,0.415191,0.433723,0.783009,0.263783,0.914696,0.985115,0.473443,0.435629,1
1776442139.498506,-257.028801,78.890742,13732.726135,0.438421,0.404386,0.785404,0.239341,0.966051,0.971272,0.501174,0.482631,1
1776442139.503506,-198.986740,77.769146,-1359.532843,0.453913,0.389603,0.786627,0.234503,0.899816,0.964609,0.469008,0.482725,1
1776442139.508506,-270.424601,76.837839,-1443.878634,0.419663,0.344789,0.774143,0.306159,0.920687,0.987286,0.509863,0.436071,1
1776442139.513506,-213.213659,74.979336,625.687904,0.455605,0.291263,0.810187,0.259564,0.955428,0.988001,0.471412,0.490705,1
1776442139.518506,-264.259583,74.638213,-7813.453941,0.430696,0.267180,0.793671,0.274860,0.900350,1.000977,0.450278,0.448587,1
1776442139.523506,-290.201341,72.253024,19154.115789,0.427888,0.277721,0.790767,0.255497,0.894312,0.963472,0.495616,0.418130,1
1776442139.528506,-75.529814,71.644345,-5348.699720,0.436526,0.244581,0.807109,0.274605,0.925637,1.004640,0.475832,0.460613,1
1776442139.533506,-342.903228,71.473887,-24036.555147,0.439941,0.194824,0.763356,0.296370,0.920222,0.962348,0.496869,0.480715,1
1776442139.538506,-312.367361,68.106736,21844.565873,0.400416,0.199158,0.814761,0.283625,0.955684,0.969268,0.469355,0.423244,1
1776442139.543506,-127.663911,68.251302,-1376.803808,0.439432,0.201988,0.791797,0.294245,0.948609,0.991476,0.465079,0.442124,1
1776442139.548506,-325.933269,66.789611,-12643.361939,0.474974,0.227009,0.777939,0.292674,0.904100,0.990233,0.448064,0.452878,1
1776442139.553506,-252.241777,64.888776,23711.055167,0.415469,0.178444,0.786392,0.320889,0.925715,0.986612,0.480343,0.467146,1
1776442139.558506,-92.302973,64.187419,21736.535490,0.429916,0.220334,0.802286,0.309700,0.878983,0.973068,0.512624,0.452839,1
1776442139.563506,-38.066828,63.936508,-19587.205955,0.435971,0.192065,0.766652,0.336792,0.921775,0.968422,0.488587,0.484534,1
1776442139.568506,-285.300082,63.794613,-21989.631588,0.413193,0.228459,0.834799,0.341288,0.942763,0.950707,0.464922,0.477464,1
1776442139.573506,-254.735531,60.993193,19586.640220,0.466131,0.189393,0.785622,0.295775,0.868467,0.956702,0.476192,0.472104,1
1776442139.578506,-92.308551,61.166631,10145.302583,0.450508,0.218636,0.822882,0.338497,0.928067,0.930559,0.475353,0.482255,1
1776442139.583506,-154.771625,60.040925,-3840.249872,0.413535,0.209632,0.807609,0.336177,0.938468,0.985649,0.475554,0.410756,1
