Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS_Norm,Comp_RMS_Norm,Symmetry_Score,Phase_Progress,Target_MDF,Target_MNF,Target_ZCR,Target_Raw_Unfilt,label
1776442139.372983,36.4535,168.8366,-17070.1842,0.321171,0.259182,0.898452,0.013099,0.862626,0.949666,0.494490,0.361526,2
1776442139.377984,-48.8974,169.0189,-15217.8377,0.312915,0.255611,0.920843,0.049246,0.878342,0.961771,0.476357,0.391848,2
1776442139.382983,-115.7248,168.3476,-15231.5162,0.311063,0.224396,0.920109,0.000000,0.880379,0.947053,0.460377,0.370100,2
1776442139.387984,-201.2125,167.8616,-5573.4626,0.303407,0.249318,0.924577,0.030890,0.858120,0.991204,0.500160,0.391641,2
1776442139.392983,-171.4595,166.3355,4512.6704,0.271883,0.253489,0.875667,0.023107,0.872794,0.934109,0.513896,0.366554,2
1776442139.397984,-156.0858,166.1470,-2745.5521,0.336504,0.252136,0.891212,0.001145,0.867279,0.952168,0.476089,0.395666,2
1776442139.402983,-198.9150,164.7747,-3951.6656,0.320148,0.247821,0.904382,0.045730,0.879583,0.934001,0.496467,0.396197,2
1776442139.407984,-195.6025,164.1579,-2639.2798,0.297123,0.241794,0.879741,0.000000,0.867969,0.942108,0.460348,0.348195,2
1776442139.412983,-225.3078,162.8186,7937.2309,0.294606,0.252113,0.836742,0.045020,0.868654,0.961507,0.520287,0.362687,2
1776442139.417984,-116.2302,161.9048,10948.6225,0.289164,0.263433,0.931031,0.044433,0.881515,1.000000,0.475239,0.347465,2
1776442139.422983,-115.8216,161.6563,-2323.3949,0.339043,0.273789,0.938090,0.024157,0.856458,0.976210,0.458444,0.374168,2
1776442139.427984,-139.4641,160.7466,-7355.1272,0.312080,0.264774,0.892135,0.004706,0.877542,0.938119,0.468358,0.400728,2
1776442139.432983,-189.3728,160.2617,-4224.6485,0.324283,0.275902,0.872937,0.039204,0.854371,0.929413,0.506123,0.364926,2
1776442139.437984,-181.7106,158.8529,11722.2094,0.335752,0.249608,0.883602,0.060773,0.914280,0.948480,0.518135,0.392778,2
1776442139.442983,-72.1507,158.4446,-7601.4657,0.325929,0.263079,0.907765,0.066231,0.872171,0.963752,0.486905,0.400700,2
1776442139.447984,-257.7253,158.1314,-18517.9853,0.350564,0.234449,0.901432,0.010875,0.858684,0.942757,0.496073,0.388371,2
1776442139.452983,-257.3306,155.8673,12531.0325,0.329494,0.277722,0.917982,0.068033,0.846678,0.918491,0.478338,0.347274,2
1776442139.457983,-132.4149,155.5581,17632.7099,0.316493,0.252544,0.915001,0.071588,0.899482,0.920600,0.511323,0.364623,2
1776442139.462983,-81.0035,154.5432,-1505.9035,0.354638,0.248079,0.907433,0.042925,0.870080,0.954112,0.491140,0.376927,2
1776442139.467983,-147.4740,154.7480,-15972.8606,0.310302,0.283828,0.887510,0.060699,0.865240,0.952176,0.485696,0.390945,2
1776442139.472983,-240.7321,153.0684,-8693.9611,0.372832,0.308193,0.896531,0.016488,0.866652,0.931240,0.473091,0.409726,2
