Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS_Norm,Comp_RMS_Norm,Symmetry_Score,Phase_Progress,Target_MDF,Target_MNF,Target_ZCR,Target_Raw_Unfilt,label
1776442139.348432,-196.8377,169.9347,-28018.7266,0.319027,0.194887,0.826838,0.000000,0.922551,0.963877,0.524504,0.364017,1
1776442139.353432,-336.9313,168.9506,-17530.5202,0.355094,0.193415,0.803442,0.023806,0.852518,0.955685,0.491259,0.423195,1
1776442139.358432,-372.1429,166.5654,8045.9792,0.360054,0.264774,0.754356,0.027193,0.854840,0.949261,0.490641,0.364979,1
1776442139.363432,-256.4715,165.2291,8761.6184,0.344705,0.298340,0.787125,0.029623,0.918005,0.922202,0.487900,0.377157,1
1776442139.368432,-284.5267,164.0007,5041.9261,0.382306,0.360927,0.811937,0.000000,0.850373,0.938923,0.511360,0.454624,1
1776442139.373432,-206.0523,162.3839,7933.0786,0.365010,0.369491,0.808493,0.006665,0.873740,0.911803,0.530936,0.400120,1
1776442139.378432,-205.1959,161.9402,-16914.7220,0.361798,0.430084,0.794389,0.064046,0.858167,0.928855,0.503293,0.362589,1
1776442139.383432,-375.1995,160.3319,-12407.0541,0.374322,0.470516,0.814089,0.041006,0.895560,0.945329,0.479495,0.417583,1
1776442139.388432,-329.2665,158.1882,8783.9094,0.372549,0.486174,0.784399,0.060074,0.855592,0.937783,0.504864,0.392408,1
1776442139.393432,-287.3604,157.0392,4731.5819,0.397193,0.479958,0.793372,0.053602,0.830737,0.958273,0.492254,0.396800,1
1776442139.398432,-281.9506,155.3146,7867.9812,0.374906,0.562965,0.815235,0.065016,0.827688,0.946791,0.484358,0.453260,1
1776442139.403432,-208.6806,154.2197,-5261.0900,0.336437,0.509789,0.798127,0.074829,0.886628,0.936493,0.496783,0.378470,1
1776442139.408432,-334.5615,153.2278,-11697.4927,0.388366,0.623683,0.790060,0.020949,0.847866,0.947150,0.510615,0.406831,1
1776442139.413432,-325.6555,150.8741,5930.8245,0.361485,0.626928,0.797105,0.075068,0.873762,0.956068,0.520863,0.410523,1
1776442139.418432,-275.2533,149.9712,9609.8339,0.349710,0.664906,0.807276,0.070124,0.861877,0.955958,0.483733,0.394281,1
1776442139.423432,-229.5572,148.1216,6232.1800,0.356961,0.682496,0.827795,0.062802,0.864695,0.965097,0.502946,0.372981,1
1776442139.428432,-212.9315,147.6757,-6370.1499,0.379770,0.681396,0.754411,0.078963,0.901429,0.970948,0.524393,0.432015,1
1776442139.433432,-293.2587,145.9923,1677.5517,0.387624,0.734043,0.815186,0.082164,0.877074,0.932122,0.485773,0.404620,1
1776442139.438432,-196.1560,144.7431,-7016.5754,0.359603,0.730257,0.793363,0.090819,0.887857,0.969927,0.536500,0.390142,1
1776442139.443432,-363.4244,144.0307,-15877.9376,0.374319,0.735959,0.825754,0.110663,0.861134,0.918815,0.496626,0.409295,1
1776442139.448431,-354.9354,141.1088,22573.4807,0.387119,0.777251,0.832387,0.116462,0.866221,0.945342,0.490805,0.410418,1
1776442139.453432,-137.6896,140.4813,20938.7836,0.362978,0.798072,0.785171,0.118742,0.839353,0.922464,0.514694,0.406304,1
1776442139.458431,-145.5475,139.7319,-18837.3545,0.403464,0.780703,0.788994,0.115254,0.831828,0.968584,0.505303,0.442502,1
1776442139.463432,-326.0632,139.0259,-24439.7976,0.385777,0.830734,0.811921,0.081962,0.861080,0.953953,0.494056,0.396834,1
1776442139.468431,-389.9455,136.4713,2064.7594,0.396393,0.790729,0.790825,0.126226,0.859819,0.953605,0.457735,0.433125,1
1776442139.473432,-305.4156,135.1264,14011.4291,0.422998,0.876248,0.776297,0.142773,0.907243,0.946022,0.490994,0.473847,1
1776442139.478432,-249.8312,133.4171,19839.0499,0.440349,0.844516,0.826467,0.135289,0.874964,0.925892,0.482509,0.449774,1
1776442139.483432,-107.0251,132.6281,4569.9946,0.384555,0.845958,0.832544,0.143646,0.868006,0.953320,0.503387,0.438730,1
1776442139.488432,-204.1313,132.3469,-20294.2260,0.388459,0.812410,0.833693,0.103321,0.856012,0.965298,0.492200,0.439792,1
1776442139.493432,-309.9673,130.5868,-23272.7963,0.406410,0.849997,0.786414,0.130519,0.872747,0.977446,0.494876,0.438916,1
1776442139.498432,-436.8592,129.2472,11885.4018,0.397426,0.819958,0.747211,0.139126,0.889644,0.939670,0.486262,0.427141,1
1776442139.503432,-191.1133,126.2182,27491.8445,0.444614,0.850239,0.822979,0.126148,0.867586,0.946245,0.526806,0.470817,1
1776442139.508432,-161.9408,127.3361,-13271.0969,0.395695,0.841922,0.792651,0.167154,0.874244,0.945604,0.483750,0.417255,1
1776442139.513432,-323.8243,124.5988,-162.7630,0.422502,0.858231,0.765516,0.159820,0.875573,0.941276,0.504840,0.434046,1
1776442139.518432,-163.5684,124.0978,501.4573,0.367320,0.843545,0.808639,0.177739,0.819388,0.946855,0.489016,0.398856,1
1776442139.523432,-318.8097,122.9631,-13552.3487,0.395004,0.791414,0.782970,0.183966,0.878798,0.950605,0.480095,0.392364,1
1776442139.528432,-299.0919,120.9097,16178.3199,0.439586,0.788139,0.797518,0.189090,0.837500,0.974500,0.460338,0.438106,1
1776442139.533432,-157.0265,119.9722,6334.4128,0.414007,0.811664,0.822026,0.207970,0.872221,0.935973,0.492111,0.409483,1
1776442139.538432,-235.7478,119.3395,-14969.0325,0.413585,0.776157,0.784647,0.189995,0.873477,0.958834,0.499082,0.424040,1
1776442139.543432,-306.7168,117.6147,6900.6373,0.412258,0.778615,0.790628,0.185980,0.869257,0.914800,0.481086,0.430596,1
1776442139.548432,-166.7414,116.2723,8474.0330,0.400738,0.738992,0.830818,0.200162,0.860588,0.982513,0.498889,0.456401,1
1776442139.553432,-221.9765,115.9473,-7002.9474,0.438415,0.711229,0.777891,0.186510,0.892319,0.925574,0.501180,0.460368,1
1776442139.558432,-236.7709,114.0525,4991.9452,0.396915,0.729942,0.792292,0.219205,0.864924,0.937655,0.491465,0.420262,1
