Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS_Norm,Comp_RMS_Norm,Symmetry_Score,Phase_Progress,Target_MDF,Target_MNF,Target_ZCR,Target_Raw_Unfilt,label
1776442139.421547,-287.4262,169.9641,-14864.5941,0.356273,0.219867,0.822861,0.004902,0.841105,0.944293,0.495844,0.424111,1
1776442139.426548,-361.7492,168.5269,-13340.7707,0.339401,0.254940,0.833886,0.000000,0.855026,0.963938,0.527453,0.418248,1
1776442139.431547,-420.8339,166.3466,7279.1814,0.346331,0.279464,0.788257,0.000000,0.878825,0.967306,0.478315,0.415379,1
1776442139.436548,-288.9574,164.3186,-3970.1112,0.362808,0.300190,0.854591,0.000000,0.867533,0.964630,0.482153,0.373118,1
1776442139.441547,-460.5350,163.4570,-26486.7912,0.352787,0.342412,0.786633,0.045944,0.858093,0.951275,0.493212,0.430329,1
1776442139.446548,-553.8253,159.7133,8391.6606,0.371726,0.373752,0.829071,0.005891,0.871213,0.988490,0.500847,0.411472,1
1776442139.451547,-376.6184,157.9188,28401.3754,0.353344,0.393212,0.801866,0.013924,0.866669,0.955484,0.522142,0.406469,1
1776442139.456547,-269.8115,155.9471,-2063.7210,0.379256,0.429871,0.814947,0.029490,0.880910,0.939112,0.497112,0.392247,1
1776442139.461547,-397.2557,155.2206,-23079.5683,0.371932,0.475122,0.794324,0.000000,0.876513,0.931681,0.457671,0.395664,1
1776442139.466547,-500.6072,151.9745,6837.8158,0.353047,0.525366,0.776192,0.046724,0.870188,0.948992,0.502687,0.408360,1
1776442139.471547,-328.8775,150.2146,10572.0265,0.351433,0.533746,0.799378,0.071893,0.852380,0.952457,0.484004,0.383918,1
1776442139.476547,-394.8870,148.6857,-13962.0976,0.368149,0.555646,0.792369,0.023043,0.883678,0.971161,0.486648,0.370430,1
1776442139.481547,-468.4985,146.2657,4446.5946,0.377182,0.631861,0.831206,0.089022,0.857631,0.954525,0.528671,0.426226,1
1776442139.486547,-350.4210,144.0008,7865.8534,0.390066,0.598965,0.842880,0.104321,0.838255,0.944243,0.500216,0.447491,1
1776442139.491547,-389.8399,142.7615,-11948.4068,0.368650,0.604453,0.788032,0.095865,0.846262,0.941611,0.500139,0.388966,1
1776442139.496547,-469.9051,140.1024,5987.0540,0.346277,0.661857,0.792409,0.106390,0.860674,0.923693,0.480069,0.385276,1
1776442139.501547,-329.9694,138.0624,21863.8875,0.364879,0.691868,0.803996,0.042331,0.893742,0.948976,0.510838,0.407519,1
1776442139.506547,-251.2662,136.8027,-6210.5302,0.367422,0.698595,0.812620,0.080115,0.853553,0.919619,0.507984,0.408051,1
1776442139.511547,-392.0747,135.5498,-14666.0724,0.401515,0.740970,0.804829,0.084073,0.840415,0.938373,0.511280,0.441105,1
1776442139.516547,-397.9269,132.8819,6653.8743,0.417206,0.763563,0.796262,0.112314,0.852311,0.949331,0.493616,0.398133,1
1776442139.521547,-325.5360,131.5705,9618.4653,0.379685,0.759472,0.845919,0.091667,0.877113,0.905972,0.502281,0.409335,1
1776442139.526547,-301.7423,129.6266,-4264.5292,0.386931,0.773465,0.787945,0.094984,0.870318,0.956697,0.511929,0.399174,1
1776442139.531547,-368.1812,128.5531,-13922.3815,0.342299,0.768988,0.793383,0.100445,0.872280,0.957777,0.491816,0.416373,1
1776442139.536547,-440.9661,125.9447,-3647.1580,0.393328,0.780564,0.804002,0.102766,0.883595,0.941071,0.463487,0.424233,1
1776442139.541547,-404.6528,124.1434,-2202.6913,0.365756,0.805802,0.768834,0.136419,0.861026,0.934386,0.501332,0.459881,1
1776442139.546547,-462.9930,121.8982,8994.1674,0.379929,0.806190,0.746143,0.085872,0.867149,0.923520,0.505167,0.415901,1
1776442139.551548,-314.7112,119.5135,17023.1246,0.394476,0.862480,0.785366,0.117760,0.871388,0.965429,0.486394,0.408663,1
1776442139.556547,-292.7618,118.7511,-7685.1971,0.415230,0.815300,0.816420,0.121733,0.904349,0.931302,0.485987,0.440096,1
1776442139.561548,-391.5631,116.5859,-8362.6108,0.398562,0.856256,0.774494,0.139166,0.837289,0.937600,0.526201,0.446608,1
1776442139.566547,-376.3879,114.8355,-607.1052,0.427202,0.861675,0.816767,0.124267,0.865369,0.959235,0.522492,0.447355,1
1776442139.571548,-397.6342,112.8220,-1088.5469,0.392147,0.875127,0.758708,0.151898,0.863142,0.908191,0.502177,0.425507,1
1776442139.576547,-387.2733,110.8591,12696.9052,0.388582,0.832606,0.809921,0.133170,0.903054,0.982649,0.506060,0.411938,1
1776442139.581547,-270.6651,108.9493,7724.0504,0.419640,0.860690,0.827122,0.161703,0.848945,0.927102,0.493549,0.427593,1
1776442139.586547,-310.0328,108.1525,-13553.2211,0.381183,0.793472,0.804170,0.184805,0.890109,0.931401,0.497544,0.394989,1
1776442139.591547,-406.1973,105.8489,5717.5790,0.402027,0.844423,0.788901,0.161201,0.849593,0.932927,0.497015,0.412588,1
1776442139.596547,-252.8570,104.0905,12119.5772,0.385010,0.813624,0.805630,0.178152,0.859446,0.926278,0.497705,0.399110,1
1776442139.601547,-285.0016,103.3204,-9019.6501,0.430169,0.861612,0.779821,0.172114,0.851494,0.950917,0.504536,0.459586,1
1776442139.606547,-343.0535,101.2405,-11937.6248,0.421247,0.829186,0.792520,0.209460,0.871975,0.926024,0.502420,0.432983,1
1776442139.611547,-404.3778,99.8898,2110.5199,0.436473,0.790355,0.779506,0.201234,0.884876,0.946199,0.503659,0.443787,1
1776442139.616547,-321.9484,97.1967,18630.6179,0.392795,0.770172,0.830183,0.169845,0.842719,0.945526,0.507329,0.379818,1
1776442139.621547,-218.0716,96.6703,-251.3507,0.431966,0.718137,0.814429,0.200791,0.866717,0.964133,0.499017,0.429718,1
1776442139.626547,-324.4619,95.0160,-14815.4069,0.401237,0.713047,0.797946,0.206327,0.895708,0.996873,0.533430,0.431650,1
1776442139.631547,-366.2257,93.4257,-5068.0836,0.395391,0.688449,0.832637,0.227883,0.873369,0.982873,0.515598,0.489278,1
1776442139.636547,-375.1427,91.3537,4940.4089,0.440902,0.705702,0.799038,0.263884,0.895080,0.966426,0.515739,0.462504,1
1776442139.641547,-316.8216,89.6743,9642.4968,0.411051,0.667137,0.744100,0.218013,0.893096,0.974753,0.494288,0.460697,1
1776442139.646547,-278.7177,88.1855,7932.4249,0.420527,0.632355,0.810134,0.219899,0.903089,0.962859,0.517435,0.421530,1
1776442139.651547,-237.4974,86.8871,5195.9940,0.405970,0.603928,0.822923,0.262020,0.875651,0.944546,0.493939,0.411469,1
1776442139.656547,-226.7578,85.8105,-4379.0862,0.403701,0.571247,0.770259,0.247025,0.875698,0.932812,0.507297,0.414223,1
1776442139.661547,-281.2882,84.6195,-8547.2642,0.422482,0.548132,0.806365,0.266705,0.893345,0.938264,0.532399,0.464648,1
1776442139.666547,-312.2304,82.9977,-6817.5565,0.425571,0.529020,0.774992,0.243217,0.815305,0.962726,0.516462,0.414769,1
1776442139.671547,-349.4638,81.4972,-5163.0472,0.401326,0.462614,0.785276,0.241899,0.884109,0.971607,0.508836,0.401256,1
1776442139.676548,-363.8609,79.5030,12280.2179,0.438727,0.529436,0.781980,0.290019,0.866186,0.923412,0.511603,0.415120,1
1776442139.681547,-226.6616,77.8586,31691.0169,0.413146,0.431893,0.808003,0.230500,0.885318,0.956631,0.505230,0.460608,1
1776442139.686548,-46.9507,77.2364,-2932.0539,0.418853,0.411300,0.793724,0.286969,0.909733,0.963176,0.499274,0.426160,1
1776442139.691547,-255.9822,77.3891,-35753.8108,0.395019,0.362786,0.812105,0.286754,0.862374,0.941099,0.492373,0.443264,1
1776442139.696548,-404.4888,74.6766,8792.5185,0.381440,0.322508,0.797506,0.288108,0.864765,0.944897,0.468332,0.382879,1
1776442139.701547,-168.0570,73.3442,16282.9724,0.386187,0.310984,0.811260,0.263413,0.890651,0.946111,0.524644,0.434262,1
1776442139.706547,-241.6591,72.9960,-16602.4060,0.456324,0.261912,0.795445,0.310681,0.857672,0.953669,0.479065,0.422487,1
1776442139.711547,-334.0810,70.9276,-4807.3735,0.434150,0.244200,0.781838,0.322549,0.872515,0.961137,0.508958,0.461472,1
1776442139.716547,-289.7328,69.6552,15694.5908,0.417721,0.194304,0.793047,0.292358,0.868477,0.942432,0.521609,0.431101,1
1776442139.721547,-177.1351,68.0303,16999.9297,0.420857,0.225063,0.798112,0.295351,0.897548,0.940941,0.523394,0.421212,1
1776442139.726547,-119.7336,67.8839,-10154.4026,0.389391,0.231270,0.820941,0.286246,0.876131,0.952650,0.518958,0.412092,1
1776442139.731547,-278.6791,66.8330,-8210.9954,0.409623,0.187166,0.795204,0.358238,0.877969,0.974161,0.496433,0.453399,1
1776442139.736547,-201.8435,65.0971,4372.9070,0.404619,0.217026,0.802169,0.350772,0.849939,0.971044,0.491064,0.433322,1
