Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS_Norm,Comp_RMS_Norm,Symmetry_Score,Phase_Progress,Target_MDF,Target_MNF,Target_ZCR,Target_Raw_Unfilt,label
1776442139.545299,129.987600,156.240700,-15374.548900,0.320268,0.233087,0.872454,0.573134,0.894906,1.000000,0.448052,0.392105,2
1776442139.550299,121.011100,156.997500,1791.604600,0.363886,0.311675,0.837408,0.577003,0.838457,0.982958,0.520719,0.454920,2
1776442139.555299,147.903600,157.450800,21942.235900,0.330744,0.240456,0.864911,0.606010,0.857839,1.000000,0.454421,0.351569,2
1776442139.560299,340.433400,158.476600,18805.354300,0.323043,0.240238,0.919146,0.635788,0.850046,0.971486,0.492670,0.271606,2
1776442139.565299,335.957200,160.855200,-16767.382900,0.297523,0.255461,0.900329,0.574523,0.877396,0.977255,0.457108,0.413931,2
1776442139.570299,172.759600,161.836100,-8007.464800,0.309429,0.223067,0.899596,0.584599,0.899609,0.944209,0.502319,0.356766,2
1776442139.575299,255.882500,162.582800,8605.630700,0.322726,0.264852,0.906316,0.559672,0.812440,0.940613,0.533075,0.329710,2
1776442139.580299,258.815900,164.395000,890.126500,0.335420,0.272106,0.906320,0.615917,0.876921,0.955283,0.528751,0.381655,2
1776442139.585299,264.783800,165.170900,3351.298900,0.357934,0.227520,0.887415,0.617318,0.871688,1.000000,0.462233,0.400462,2
1776442139.590299,292.328900,167.042800,-10492.119700,0.270727,0.225812,0.899860,0.582088,0.866731,0.930815,0.467649,0.351641,2
1776442139.595299,159.862600,168.094200,-6238.496400,0.315342,0.286123,0.913186,0.617323,0.860679,0.933296,0.459730,0.361657,2
1776442139.600299,229.943900,168.641400,19058.132400,0.330759,0.251450,0.881118,0.595610,0.940029,0.993210,0.505050,0.365826,2
1776442139.605299,350.443900,170.393600,24099.994600,0.308441,0.304513,0.917169,0.581012,0.885027,0.984900,0.496460,0.380691,2
1776442139.610299,-201.871500,170.036100,-3866.013900,0.328602,0.280969,0.882163,0.058018,0.845698,0.917384,0.481813,0.381559,2
1776442139.615299,-221.201600,169.026700,-1066.101600,0.310488,0.230875,0.910654,0.000000,0.895402,0.935132,0.437992,0.354395,2
1776442139.620299,-212.532500,167.824100,1196.712100,0.284898,0.252996,0.862090,0.000000,0.866196,0.928349,0.503940,0.401917,2
1776442139.625299,-209.234500,166.901400,-9688.509000,0.280302,0.246562,0.886452,0.030024,0.862574,0.965272,0.505517,0.310968,2
1776442139.630299,-309.417600,165.731700,-7802.617300,0.293847,0.224321,0.880672,0.013619,0.890259,0.953001,0.475857,0.380518,2
1776442139.635299,-287.260600,163.807200,4220.847600,0.362572,0.236662,0.886903,0.031888,0.876594,0.946962,0.488929,0.373596,2
1776442139.640299,-267.209200,162.859100,13721.599400,0.308208,0.282041,0.922077,0.000273,0.871837,0.929642,0.482499,0.432415,2
1776442139.645299,-150.044700,161.135100,8066.058500,0.289280,0.193856,0.888746,0.030983,0.843808,0.960467,0.531179,0.369064,2
1776442139.650299,-186.548600,161.358700,-13766.374900,0.274073,0.205947,0.897442,0.039777,0.860330,0.960005,0.529999,0.327592,2
1776442139.655299,-287.708400,159.269600,-1152.177100,0.356678,0.254182,0.900647,0.019809,0.867369,0.957917,0.509965,0.380571,2
1776442139.660299,-198.070300,158.481600,7618.566700,0.273472,0.248267,0.921000,0.064750,0.886557,0.922605,0.517536,0.392162,2
1776442139.665299,-211.522700,157.288900,-3042.497000,0.340451,0.247835,0.932478,0.019740,0.867488,0.936069,0.509861,0.327246,2
1776442139.670299,-228.495300,156.366300,-8276.534500,0.326162,0.239815,0.892071,0.037910,0.800726,0.960103,0.503585,0.350134,2
1776442139.675299,-294.288100,155.004000,-6922.394800,0.348100,0.248892,0.911290,0.043634,0.894015,0.959145,0.522840,0.391512,2
1776442139.680299,-297.719300,153.423500,11535.928200,0.294382,0.277830,0.896072,0.065426,0.848600,0.909989,0.492775,0.410677,2
1776442139.685299,-178.928800,152.026800,12514.306400,0.330086,0.254914,0.919133,0.041516,0.878618,0.919541,0.504439,0.359701,2
1776442139.690299,-172.576200,151.634200,-10053.245000,0.296125,0.284477,0.903794,0.045781,0.890492,0.986417,0.457329,0.355888,2
1776442139.695299,-279.461300,150.301000,-12938.342300,0.315501,0.240201,0.875955,0.072854,0.842533,0.981035,0.470989,0.338141,2
