Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS_Norm,Comp_RMS_Norm,Symmetry_Score,Phase_Progress,Target_MDF,Target_MNF,Target_ZCR,Target_Raw_Unfilt,label
1776442139.504797,424.835400,146.895100,-15845.507500,0.571449,0.200627,0.950131,0.924175,0.927482,0.944983,0.484083,0.557650,0
1776442139.509797,306.616000,149.088900,-10961.189900,0.627613,0.153893,0.938842,0.945386,0.884656,0.963785,0.532134,0.597535,0
1776442139.514797,315.223500,149.961200,4626.795800,0.629182,0.152670,0.919419,0.911883,0.857656,0.976114,0.522773,0.484564,0
1776442139.519797,352.883900,152.241100,15898.267300,0.578055,0.157683,0.916502,0.981005,0.883684,0.931007,0.503849,0.477099,0
1776442139.524797,474.206200,153.490100,12905.008800,0.546185,0.166596,0.955132,1.000000,0.862344,0.955989,0.485693,0.531987,0
1776442139.529797,481.934000,156.983200,-17642.569000,0.600689,0.135708,0.944302,1.000000,0.890253,0.944087,0.499207,0.570066,0
1776442139.534797,297.780500,158.309400,-11286.359200,0.554760,0.175025,0.942487,0.976844,0.840395,1.000000,0.538383,0.547385,0
1776442139.539797,369.070400,159.961000,17874.666700,0.562868,0.211279,0.966662,0.998007,0.899057,0.965798,0.458290,0.522748,0
1776442139.544797,476.527200,162.000100,149.766600,0.589155,0.132354,0.960735,0.987099,0.881222,0.983706,0.559601,0.547704,0
1776442139.549797,370.568100,164.726300,-15708.416800,0.501532,0.169070,0.963102,1.000000,0.817618,0.917083,0.493612,0.532991,0
1776442139.554797,319.443000,165.705800,-1243.044400,0.536927,0.195602,0.944174,0.976287,0.856351,0.953880,0.507479,0.488666,0
1776442139.559797,358.137600,167.920700,-4615.219200,0.522610,0.174355,0.974883,0.947261,0.856781,0.952627,0.460856,0.458758,0
1776442139.564797,273.290800,169.287200,-16969.371100,0.569833,0.194076,0.928260,0.984031,0.810298,0.925021,0.468597,0.491115,0
1776442139.569797,-274.712600,169.695200,-26818.152800,0.517766,0.159990,0.962081,0.004812,0.867825,0.923797,0.496433,0.558409,0
1776442139.574797,-408.803300,168.321600,-20616.796300,0.526182,0.187154,0.945009,0.006804,0.914577,0.920140,0.546815,0.483633,0
1776442139.579797,-480.880500,165.607100,16684.874700,0.584098,0.137439,0.953176,0.000000,0.870222,0.910912,0.537849,0.522448,0
1776442139.584797,-241.954600,163.512800,14012.441800,0.561593,0.126613,0.962769,0.043384,0.893002,0.962741,0.497214,0.526548,0
1776442139.589797,-340.756100,163.187600,-24121.174200,0.605130,0.187272,0.943324,0.040210,0.856841,0.990464,0.474746,0.500096,0
1776442139.594797,-483.166300,160.105200,-6555.508000,0.588545,0.143319,0.954117,0.025821,0.858844,0.940688,0.489182,0.496948,0
1776442139.599797,-406.311200,158.355900,3785.805100,0.597011,0.198837,0.964610,0.004278,0.863585,0.950851,0.522502,0.533548,0
1776442139.604797,-445.308300,156.042100,7393.278100,0.568234,0.127079,0.979841,0.045070,0.834488,0.995587,0.525901,0.560753,0
1776442139.609797,-332.378400,153.902800,12535.636200,0.622505,0.125266,0.935690,0.068085,0.877821,0.929615,0.512927,0.543835,0
1776442139.614797,-319.951900,152.718300,-8260.927500,0.634533,0.129754,0.942912,0.055203,0.858091,0.921425,0.469901,0.550059,0
1776442139.619797,-414.987700,150.703300,-17083.566300,0.562368,0.177374,0.955734,0.040934,0.883499,0.928976,0.578279,0.507259,0
1776442139.624797,-490.787600,148.568500,-257.718800,0.542937,0.166661,0.944781,0.040568,0.875399,0.938059,0.502173,0.515431,0
1776442139.629797,-417.564900,145.795500,10162.377300,0.601406,0.140146,0.926927,0.049844,0.838975,0.932003,0.563255,0.549794,0
1776442139.634797,-389.163800,144.392800,6107.941300,0.586928,0.119154,0.957945,0.053400,0.877357,0.924961,0.484116,0.518578,0
1776442139.639797,-356.485500,141.903800,11945.715500,0.567789,0.140921,0.950560,0.028689,0.797305,0.951740,0.499409,0.515667,0
1776442139.644797,-269.706700,140.828000,-3073.792300,0.613094,0.169179,0.949112,0.099983,0.881147,0.972958,0.552539,0.570089,0
1776442139.649797,-387.223400,139.206700,-13743.385000,0.647513,0.187386,0.999123,0.091563,0.914226,0.931009,0.521398,0.553922,0
1776442139.654797,-407.140500,136.955700,2923.681300,0.648428,0.180888,0.953005,0.083928,0.891261,0.901948,0.440209,0.580260,0
1776442139.659797,-357.986600,135.135300,-5406.146700,0.622754,0.132374,0.952049,0.101767,0.878103,0.919713,0.516686,0.517397,0
1776442139.664797,-461.202000,133.375900,-4945.445700,0.646628,0.157931,0.919897,0.093075,0.881718,0.994907,0.514116,0.573956,0
1776442139.669797,-407.441000,130.523300,18687.252500,0.628511,0.112963,0.982780,0.069384,0.869940,0.955584,0.457798,0.579230,0
1776442139.674797,-274.329400,129.301500,11314.133600,0.697351,0.120745,0.976873,0.077132,0.864079,0.960164,0.472012,0.556612,0
1776442139.679797,-294.299700,127.780000,-7493.458700,0.624547,0.138067,0.939073,0.123591,0.843710,0.970084,0.511282,0.558101,0
1776442139.684797,-349.264000,126.358500,-15995.349700,0.629995,0.189685,0.941619,0.129717,0.853028,0.904465,0.440324,0.497475,0
1776442139.689797,-454.253200,124.287400,-12635.434400,0.670777,0.153518,0.942831,0.112798,0.842014,0.974167,0.489167,0.616587,0
1776442139.694797,-475.618400,121.815900,7989.887600,0.638153,0.203903,0.947103,0.157052,0.835859,0.946970,0.561134,0.568773,0
1776442139.699797,-374.354300,119.531200,19567.740700,0.594334,0.201257,0.973824,0.124273,0.829271,0.918870,0.453121,0.582367,0
1776442139.704797,-279.941000,118.072400,8581.368800,0.692416,0.170284,0.950710,0.131094,0.869916,0.986694,0.495126,0.576666,0
1776442139.709797,-288.540600,116.731800,-6101.968600,0.631560,0.113456,0.994280,0.113325,0.812734,0.929603,0.548957,0.574371,0
1776442139.714797,-340.960700,115.187000,-12213.376700,0.681425,0.125070,0.927094,0.138642,0.897316,0.940647,0.546733,0.560391,0
1776442139.719797,-410.674400,113.322200,-1930.889300,0.638082,0.189232,0.951672,0.108005,0.896407,0.956867,0.475746,0.576015,0
1776442139.724797,-360.269600,111.080200,8312.480700,0.651854,0.172604,0.946810,0.134759,0.899988,0.881026,0.490462,0.538259,0
1776442139.729797,-327.549600,109.719500,3039.142100,0.718997,0.160809,0.946496,0.179655,0.834956,0.940446,0.463576,0.585479,0
1776442139.734797,-329.878100,107.804700,-3035.149800,0.635419,0.150717,0.934806,0.134426,0.860175,0.985793,0.475277,0.580461,0
1776442139.739797,-357.901100,106.420700,-7243.630500,0.646212,0.165698,0.956018,0.194517,0.877208,0.949925,0.503105,0.599747,0
1776442139.744797,-402.314400,104.225700,3616.185200,0.714047,0.147109,0.942832,0.172349,0.920632,0.991600,0.502590,0.654557,0
1776442139.749797,-321.739200,102.397600,13808.319100,0.720006,0.203450,0.942946,0.176418,0.817223,0.953553,0.521811,0.641795,0
1776442139.754797,-264.231200,101.008300,-3036.694200,0.691496,0.146527,0.963090,0.159751,0.865146,0.957269,0.526036,0.620517,0
1776442139.759797,-352.106200,99.755300,-7399.666500,0.721288,0.113497,0.975850,0.203298,0.881588,0.990575,0.462859,0.602796,0
1776442139.764797,-338.227900,97.487300,17865.132500,0.714590,0.137658,0.943909,0.187907,0.857283,0.951827,0.494307,0.608197,0
1776442139.769797,-173.454900,96.373000,-4073.740200,0.731174,0.155223,0.930542,0.164280,0.945682,0.927206,0.517517,0.651459,0
1776442139.774797,-378.965300,95.752700,-30594.718200,0.687626,0.142796,0.954611,0.220140,0.882505,0.951989,0.500853,0.611381,0
1776442139.779797,-479.402000,92.583300,13580.128400,0.744640,0.206142,0.974845,0.204089,0.866173,1.000000,0.543851,0.661188,0
1776442139.784797,-243.164000,90.958700,23232.064300,0.662996,0.157014,0.953179,0.213529,0.876795,0.962067,0.514296,0.589181,0
1776442139.789797,-247.081400,90.151700,-8411.199000,0.723056,0.129868,0.978607,0.230468,0.890093,0.926248,0.470216,0.663251,0
1776442139.794797,-327.276000,88.487900,-7461.756400,0.749445,0.143416,0.980824,0.239629,0.847566,0.959587,0.516768,0.623159,0
1776442139.799797,-321.699000,86.878900,-1335.890000,0.755697,0.208884,0.964933,0.228984,0.882423,1.000000,0.470241,0.581594,0
1776442139.804797,-340.634900,85.270900,-4067.700000,0.747084,0.153055,0.949328,0.193242,0.841477,0.931520,0.508192,0.659404,0
1776442139.809797,-362.376000,83.472600,1466.723600,0.746980,0.118416,0.947489,0.266467,0.865408,0.922167,0.487713,0.628149,0
1776442139.814797,-325.967700,81.647100,14078.804200,0.730824,0.210530,0.957637,0.231552,0.862885,0.947744,0.489599,0.635345,0
1776442139.819797,-221.587900,80.212900,22540.142100,0.765372,0.162908,0.927330,0.234421,0.875463,0.962925,0.491129,0.616539,0
1776442139.824797,-100.566300,79.431300,-4429.748800,0.798350,0.179672,0.973561,0.265750,0.876738,0.917377,0.480733,0.657114,0
1776442139.829797,-265.885400,79.207200,-28461.052000,0.700855,0.137753,0.962863,0.237012,0.863035,0.963084,0.442161,0.568864,0
1776442139.834797,-385.176800,76.772400,3552.877300,0.761494,0.169546,0.956475,0.243064,0.809637,0.895687,0.470663,0.676010,0
1776442139.839797,-230.356600,75.355500,18681.813000,0.722844,0.228388,0.964233,0.285479,0.822200,1.000000,0.482194,0.543532,0
1776442139.844797,-198.358600,74.468800,1864.900300,0.769289,0.131385,0.950322,0.262539,0.864736,0.993626,0.459089,0.598037,0
1776442139.849797,-211.707600,73.371900,926.840900,0.746980,0.158161,0.954496,0.284593,0.901884,0.975673,0.508125,0.632506,0
1776442139.854797,-189.090200,72.351800,-5384.715500,0.740317,0.169590,0.969568,0.250564,0.892491,0.943550,0.483113,0.650435,0
1776442139.859797,-265.554800,71.481000,-14596.962700,0.795175,0.172108,0.953939,0.286732,0.833021,0.983641,0.515620,0.687973,0
1776442139.864797,-335.059900,69.696200,-1057.676600,0.742608,0.150596,0.948219,0.323466,0.852551,0.947084,0.472854,0.644532,0
1776442139.869797,-276.131600,68.130400,11879.423100,0.760323,0.132771,0.965498,0.308048,0.849019,0.960290,0.479092,0.678514,0
1776442139.874797,-216.265600,66.934900,5674.416500,0.769919,0.133147,0.959435,0.312948,0.891417,0.959596,0.507828,0.599370,0
1776442139.879797,-219.387400,65.967700,5496.622500,0.811248,0.207037,0.959219,0.313606,0.831676,0.961128,0.466111,0.625976,0
1776442139.884797,-161.299400,64.741000,6715.079800,0.749312,0.154714,0.958984,0.303669,0.872893,0.968245,0.533258,0.651596,0
1776442139.889797,-152.236600,64.354700,-9205.246800,0.794624,0.212587,0.990847,0.316730,0.863935,0.966338,0.543131,0.638593,0
1776442139.894797,-253.351900,63.218700,5095.905200,0.731603,0.178972,0.961554,0.326927,0.885784,0.943944,0.453921,0.637766,0
1776442139.899797,-101.277500,61.821200,12013.624500,0.801112,0.216013,0.948479,0.326383,0.835438,0.926016,0.482380,0.688270,0
1776442139.904797,-133.215600,62.205900,-13233.562200,0.770905,0.157285,0.962960,0.344523,0.918492,0.968983,0.503200,0.654815,0
1776442139.909797,-233.613200,60.489100,-10156.096900,0.768109,0.195320,0.943010,0.344828,0.895590,0.934369,0.495246,0.581358,0
1776442139.914797,-234.776600,59.869800,390.824900,0.748219,0.204802,0.971875,0.341553,0.883585,0.910263,0.547415,0.640009,0
1776442139.919797,-229.704900,58.141300,4663.712600,0.752118,0.155532,0.964533,0.353757,0.858582,0.955580,0.502115,0.668103,0
1776442139.924797,-188.139500,57.572700,8002.576800,0.740404,0.187317,0.938556,0.328309,0.870939,0.968587,0.509525,0.613402,0
1776442139.929797,-149.679100,56.259900,12949.206900,0.757574,0.202995,0.929449,0.381394,0.851752,0.980117,0.539260,0.646773,0
1776442139.934797,-58.647400,56.075900,4800.991700,0.786240,0.157385,0.960847,0.363727,0.859045,0.958817,0.469277,0.651826,0
1776442139.939797,-101.669200,55.673400,-26567.844200,0.831509,0.239812,0.932908,0.370053,0.861927,0.946868,0.512463,0.699496,0
1776442139.944797,-324.325800,55.059200,-3688.488600,0.776625,0.175532,0.956148,0.371461,0.867708,0.937736,0.482233,0.669220,0
1776442139.949797,-138.554100,52.430200,29866.260300,0.771280,0.132468,0.901526,0.380659,0.842019,0.957266,0.552673,0.646088,0
1776442139.954797,-25.663200,53.673700,-5409.232400,0.790886,0.159244,0.956387,0.366649,0.879321,0.941099,0.483683,0.644303,0
1776442139.959797,-192.646400,52.173500,-12184.346200,0.794754,0.176790,0.955747,0.383104,0.907414,0.945389,0.495003,0.658850,0
1776442139.964797,-147.506700,51.747200,7818.155900,0.852664,0.182504,0.937565,0.395028,0.831267,0.923242,0.481372,0.713557,0
1776442139.969797,-114.464900,50.698500,-204.516500,0.800335,0.170807,0.962325,0.400053,0.853599,1.000000,0.507156,0.671297,0
1776442139.974797,-149.551900,50.602600,-1804.283200,0.765353,0.151081,0.981405,0.433311,0.825065,0.935862,0.446765,0.662399,0
1776442139.979797,-132.507700,49.202900,-1115.757300,0.751326,0.158029,0.937341,0.407664,0.858618,0.937360,0.520114,0.720031,0
1776442139.984797,-160.709400,49.277500,4596.529400,0.786274,0.168884,0.937968,0.423575,0.846876,0.960286,0.466114,0.618510,0
1776442139.989797,-86.542400,47.595800,13906.443800,0.798968,0.176771,0.931436,0.412423,0.857241,0.984715,0.505545,0.683185,0
1776442139.994797,-21.645000,48.412100,2564.740300,0.810905,0.171994,0.940120,0.424695,0.873919,0.926600,0.544155,0.659794,0
1776442139.999797,-60.895000,47.379400,-7307.437800,0.794533,0.173659,0.970779,0.428861,0.867016,0.959274,0.498351,0.642657,0
1776442140.004797,-94.719400,47.803100,445.431900,0.775358,0.146288,0.963532,0.415747,0.859609,0.988073,0.483493,0.680304,0
1776442140.009797,-56.440700,46.432200,3163.489800,0.805395,0.151467,0.940364,0.462316,0.927411,0.939209,0.516266,0.655147,0
1776442140.014797,-63.084500,47.238700,-2098.000100,0.768276,0.158572,0.973143,0.443377,0.916896,0.983109,0.528910,0.667540,0
1776442140.019797,-77.420700,45.801400,6982.204800,0.746057,0.147085,0.983557,0.437013,0.830079,0.934540,0.491432,0.648619,0
1776442140.024797,6.737600,46.464500,-1835.112600,0.805151,0.186255,0.934943,0.447273,0.825473,0.967171,0.492218,0.654174,0
1776442140.029797,-95.771800,45.868700,-8737.309300,0.806909,0.181225,0.982414,0.476563,0.885474,0.985693,0.552728,0.676311,0
1776442140.034797,-80.635500,45.506800,3680.578700,0.836493,0.133873,0.934926,0.455437,0.852541,0.889229,0.517961,0.644257,0
1776442140.039797,-58.966000,45.062400,9042.359700,0.790029,0.142805,0.968604,0.456447,0.876956,0.950210,0.507736,0.640174,0
1776442140.044797,9.788100,44.917100,11344.444300,0.808644,0.113721,0.955170,0.498250,0.824932,0.927896,0.494643,0.679079,0
1776442140.049797,54.478400,45.160300,7189.268800,0.801956,0.181047,0.944375,0.480251,0.832453,0.965274,0.503033,0.634228,0
