Timestamp,Ang_Vel,Angle,Ang_Accel,Target_RMS_Norm,Comp_RMS_Norm,Symmetry_Score,Phase_Progress,Target_MDF,Target_MNF,Target_ZCR,Target_Raw_Unfilt,label
1776442139.506822,-217.7235,169.0445,-22689.7287,0.525422,0.150802,0.938422,0.000000,0.836757,0.943792,0.533883,0.461442,0
1776442139.511822,-331.1722,167.9559,-15850.4428,0.548881,0.132492,0.939889,0.000000,0.861102,0.935927,0.477665,0.484637,0
1776442139.516822,-376.2279,165.7328,-10715.2640,0.550557,0.184389,0.957135,0.007136,0.863654,0.944104,0.510683,0.520994,0
1776442139.521822,-438.3248,164.1936,-3456.0745,0.590759,0.135270,0.973946,0.000000,0.869612,0.997802,0.499779,0.562231,0
1776442139.526822,-410.7887,161.3495,5666.4552,0.528788,0.127057,0.897436,0.014130,0.891743,0.923041,0.504846,0.511153,0
1776442139.531822,-381.6603,160.0857,1082.7170,0.602477,0.139672,0.944457,0.065319,0.893361,0.895612,0.496782,0.512680,0
1776442139.536822,-399.9615,157.5329,9135.7868,0.544153,0.163352,0.966612,0.033501,0.865530,0.922072,0.529426,0.533198,0
1776442139.541822,-290.3024,156.0861,1928.6375,0.582955,0.166982,0.932513,0.016726,0.871398,0.954104,0.476556,0.538997,0
1776442139.546822,-380.6751,154.6299,-7693.6231,0.591476,0.165858,0.932472,0.052965,0.864887,0.977214,0.493194,0.570893,0
1776442139.551822,-367.2386,152.2793,10620.0612,0.597231,0.155101,0.960314,0.066199,0.879439,0.972260,0.472814,0.530527,0
1776442139.556822,-274.4745,150.9575,-1137.0248,0.589022,0.137993,0.945179,0.030642,0.867892,0.945546,0.505593,0.565250,0
1776442139.561822,-378.6089,149.5346,-23387.9326,0.600880,0.163258,0.945723,0.055386,0.836307,0.953141,0.530634,0.533046,0
1776442139.566822,-508.3539,147.1714,-7200.4499,0.593488,0.179646,0.930381,0.060891,0.868735,0.936084,0.473344,0.592137,0
1776442139.571822,-450.6134,144.4511,6602.4531,0.615994,0.174039,0.943003,0.061084,0.870987,0.928791,0.496131,0.575474,0
1776442139.576822,-442.3293,142.6653,5322.1446,0.609124,0.135527,0.957538,0.041667,0.855609,0.903708,0.525761,0.561429,0
1776442139.581822,-397.3919,140.0278,10369.6612,0.589533,0.161327,0.990349,0.085169,0.848036,0.935100,0.534941,0.540223,0
1776442139.586822,-338.6327,138.6914,6212.8369,0.600369,0.153719,0.935662,0.137595,0.857249,0.991724,0.494608,0.570170,0
1776442139.591822,-335.2635,136.6414,7026.9877,0.619278,0.146794,0.945534,0.085875,0.856477,0.965828,0.510560,0.570598,0
1776442139.596822,-268.3628,135.3387,-2685.4654,0.569756,0.158481,0.956724,0.099414,0.844416,0.924988,0.498042,0.540649,0
1776442139.601822,-362.1182,133.9578,-19044.9578,0.617371,0.149792,0.978591,0.113988,0.863170,0.951654,0.501324,0.553098,0
1776442139.606822,-458.8124,131.7176,-7690.7277,0.639410,0.204313,0.946724,0.117437,0.845425,0.916269,0.502321,0.573194,0
1776442139.611822,-439.0255,129.3697,5621.0554,0.614876,0.106641,0.946003,0.092811,0.858377,0.977249,0.468890,0.538049,0
1776442139.616822,-402.6019,127.3273,4878.2345,0.627404,0.144691,0.953824,0.082123,0.870904,0.978518,0.490697,0.540037,0
1776442139.621822,-390.2431,125.3437,4056.3683,0.636021,0.138968,0.949785,0.138748,0.875696,0.957776,0.503325,0.589669,0
1776442139.626822,-362.0382,123.4249,5539.0448,0.635861,0.151383,0.963089,0.130083,0.844791,0.952269,0.485417,0.563200,0
1776442139.631822,-334.8527,121.7233,6702.8478,0.632557,0.155882,0.921943,0.158400,0.876694,0.963353,0.512568,0.582800,0
1776442139.636822,-295.0097,120.0763,-5180.1841,0.669449,0.110301,0.964548,0.114372,0.857599,0.959350,0.495229,0.598278,0
1776442139.641822,-386.6545,118.7732,-12386.8328,0.642156,0.150023,0.968287,0.136264,0.884667,0.918807,0.531118,0.569830,0
1776442139.646822,-418.8780,116.2098,9492.3133,0.640968,0.151733,0.948003,0.120834,0.888617,0.953100,0.510205,0.588779,0
1776442139.651822,-291.7314,114.5844,4477.3046,0.640605,0.175278,0.942181,0.126413,0.877133,0.933746,0.489295,0.561504,0
1776442139.656822,-374.1050,113.2925,-10270.2714,0.666387,0.142894,0.935924,0.176370,0.869863,0.966895,0.500912,0.586619,0
1776442139.661822,-394.4341,110.8434,9574.8582,0.638212,0.129447,0.963944,0.148884,0.836147,0.966125,0.493632,0.577487,0
1776442139.666822,-278.3564,109.3481,6294.6482,0.664189,0.175372,0.944228,0.173536,0.849854,0.957985,0.512064,0.622384,0
1776442139.671822,-331.4876,108.0598,-4894.0725,0.682055,0.191777,0.965985,0.195950,0.868929,0.960822,0.516125,0.597650,0
1776442139.676822,-327.2971,106.0333,4614.5280,0.665461,0.151028,0.917628,0.161686,0.899438,0.964891,0.503395,0.563735,0
1776442139.681822,-285.3423,104.7868,-4112.5662,0.663777,0.172389,0.918149,0.168566,0.885467,0.941135,0.494281,0.643185,0
1776442139.686822,-368.4228,103.1798,-1792.6113,0.684370,0.168057,0.917492,0.197811,0.887435,0.974154,0.490721,0.586561,0
1776442139.691822,-303.2685,101.1026,1562.4461,0.688140,0.140310,0.976692,0.130773,0.868070,0.975556,0.444855,0.637979,0
1776442139.696822,-352.7983,100.1472,-3403.2136,0.666726,0.147312,0.949388,0.195530,0.893763,0.958521,0.456506,0.623728,0
1776442139.701822,-337.3006,97.5746,4689.0274,0.706413,0.161824,0.946930,0.197064,0.873952,0.917033,0.490212,0.629816,0
1776442139.706822,-305.9081,96.7742,-8480.8939,0.679235,0.174718,0.958652,0.188532,0.896778,0.970023,0.538878,0.587956,0
1776442139.711822,-422.1095,94.5155,7819.2992,0.716504,0.135946,0.961629,0.238599,0.876313,0.938211,0.539934,0.613502,0
1776442139.716822,-227.7151,92.5531,15961.9216,0.690784,0.168125,0.980028,0.198648,0.867283,0.947565,0.517040,0.613639,0
1776442139.721822,-262.4903,92.2384,-12383.9149,0.684376,0.173264,0.942420,0.205937,0.869041,0.944938,0.472439,0.620399,0
1776442139.726822,-351.5542,89.9282,-10802.1541,0.711910,0.206071,0.987076,0.271099,0.852750,0.948438,0.489538,0.635214,0
1776442139.731822,-370.5119,88.7228,252.4587,0.660423,0.193052,0.948270,0.224878,0.886678,0.964247,0.466646,0.588781,0
1776442139.736822,-349.0296,86.2230,16392.9488,0.720302,0.158305,0.942172,0.253775,0.863525,0.942872,0.489480,0.606311,0
1776442139.741822,-206.5824,85.2325,9232.5796,0.747940,0.136443,0.945257,0.257093,0.854010,0.910942,0.515235,0.664220,0
1776442139.746822,-256.7038,84.1572,-13969.0179,0.712626,0.184108,1.000000,0.224479,0.867529,0.950973,0.498868,0.650850,0
1776442139.751822,-346.2725,82.6655,-2157.6340,0.738487,0.135669,0.956866,0.246839,0.868651,0.957855,0.499285,0.607669,0
1776442139.756822,-278.2802,80.6945,22453.6354,0.717317,0.207076,0.910275,0.249563,0.870348,0.957931,0.505521,0.586530,0
1776442139.761822,-121.7362,79.8827,6336.2554,0.711290,0.184718,0.961363,0.300654,0.869155,0.932870,0.496926,0.604947,0
1776442139.766822,-214.9176,79.4771,-26911.8272,0.733870,0.136217,0.949407,0.274241,0.866023,0.952286,0.502882,0.629062,0
1776442139.771822,-390.8545,77.7335,-12445.3989,0.766108,0.149482,0.953806,0.265573,0.865549,0.981253,0.527701,0.639140,0
1776442139.776822,-339.3716,75.5686,21471.2753,0.726131,0.202033,0.950074,0.229173,0.853125,0.987433,0.528093,0.667140,0
1776442139.781822,-176.1417,74.3398,18356.0589,0.731063,0.158389,0.911369,0.259537,0.865751,0.930123,0.520303,0.638279,0
1776442139.786822,-155.8110,73.8072,-11929.4362,0.738893,0.174098,0.955829,0.290655,0.862780,0.967630,0.524203,0.677697,0
1776442139.791822,-295.4361,72.7817,-19432.1374,0.746159,0.191156,0.965443,0.283352,0.862880,0.926098,0.509916,0.616024,0
1776442139.796822,-350.1324,70.8528,11336.7213,0.757150,0.183250,0.935758,0.266063,0.857202,0.965038,0.529313,0.651099,0
1776442139.801822,-182.0689,69.2804,14382.6948,0.756906,0.164799,0.950475,0.261114,0.845273,0.958299,0.505199,0.611198,0
1776442139.806822,-206.3054,69.0321,-15568.0789,0.769559,0.168360,0.959796,0.284396,0.863330,0.896947,0.493596,0.647060,0
1776442139.811822,-337.7497,67.2173,-2552.9293,0.750151,0.156614,0.928861,0.290174,0.851042,0.928940,0.448903,0.639153,0
1776442139.816822,-231.8347,65.6546,20460.0710,0.751445,0.170496,0.991911,0.314782,0.879317,0.936477,0.485925,0.638240,0
1776442139.821822,-133.1489,64.8990,-7599.5387,0.779714,0.165653,0.970972,0.304414,0.876199,0.930548,0.496542,0.679222,0
1776442139.826822,-307.8301,64.3231,-16361.9657,0.740904,0.190165,0.942487,0.303029,0.899462,0.949855,0.519107,0.607216,0
1776442139.831822,-296.7686,61.8207,17057.3979,0.751156,0.179610,0.959503,0.306532,0.878972,0.934651,0.503238,0.660289,0
1776442139.836822,-137.2561,61.3554,20924.1517,0.764811,0.201850,0.966135,0.307541,0.858353,0.967508,0.479817,0.653177,0
1776442139.841822,-87.5271,60.4481,368.9512,0.758294,0.197689,0.935404,0.300614,0.877037,0.945208,0.476802,0.616336,0
1776442139.846822,-133.5666,60.4802,-7632.6270,0.802518,0.199409,0.956139,0.345564,0.876199,0.957237,0.492773,0.673533,0
1776442139.851822,-163.8534,59.1124,-4424.6384,0.752322,0.144104,0.935370,0.350930,0.865354,0.962083,0.479419,0.623424,0
1776442139.856822,-177.8130,58.8416,1197.5916,0.768233,0.170853,0.930617,0.366665,0.889158,0.933300,0.514870,0.602165,0
1776442139.861822,-151.8774,57.3343,8218.9882,0.789717,0.171323,0.955970,0.353438,0.841365,0.934333,0.510130,0.645151,0
1776442139.866822,-95.6231,57.3229,-8889.3529,0.791469,0.162600,0.936598,0.392302,0.862167,0.958089,0.510819,0.650123,0
1776442139.871822,-240.7710,56.3781,-17276.6159,0.808946,0.164337,0.948113,0.383154,0.849961,0.948612,0.453401,0.640171,0
1776442139.876822,-268.3893,54.9152,9918.1644,0.781084,0.200744,0.989173,0.353140,0.878022,0.963146,0.494400,0.667553,0
1776442139.881822,-141.5893,53.6942,12954.0596,0.804310,0.199978,0.954955,0.372533,0.873302,0.928403,0.519590,0.675975,0
1776442139.886822,-138.8487,53.4993,-8490.7780,0.783630,0.167802,0.959017,0.354171,0.878133,0.953288,0.484514,0.684441,0
1776442139.891822,-226.4971,52.3057,8680.2459,0.803631,0.182814,0.968904,0.397257,0.903909,0.960083,0.494697,0.660740,0
1776442139.896822,-52.0462,51.2343,19374.2544,0.789227,0.188989,0.985393,0.401321,0.868750,0.935422,0.523706,0.637991,0
1776442139.901822,-32.7546,51.7852,-16863.2728,0.791356,0.179927,0.977576,0.395619,0.863150,0.933359,0.502586,0.667210,0
1776442139.906822,-220.6790,50.9067,-8585.3503,0.804464,0.183476,0.948764,0.407413,0.860714,0.937208,0.483321,0.724546,0
1776442139.911822,-118.6081,49.5785,11482.3640,0.789191,0.176265,0.948704,0.383246,0.886936,0.951214,0.449016,0.658781,0
1776442139.916822,-105.8553,49.7207,-4293.0263,0.769618,0.160571,0.944892,0.425898,0.886758,0.922992,0.500439,0.638219,0
1776442139.921822,-161.5383,48.5199,14859.3852,0.821420,0.146925,0.937471,0.472023,0.897786,0.944250,0.545538,0.683301,0
