[0] Identity_0 | op: Identity | in: ['onnx::Clip_864'] | out: ['onnx::Clip_867']
[1] Conv_1 | op: Conv | in: ['input', 'onnx::Conv_693', 'onnx::Conv_694'] | out: ['input.4']
[2] Sigmoid_2 | op: Sigmoid | in: ['input.4'] | out: ['onnx::Mul_365']
[3] Mul_3 | op: Mul | in: ['input.4', 'onnx::Mul_365'] | out: ['onnx::Conv_366']
[4] Conv_4 | op: Conv | in: ['onnx::Conv_366', 'onnx::Conv_696', 'onnx::Conv_697'] | out: ['input.12']
[5] Sigmoid_5 | op: Sigmoid | in: ['input.12'] | out: ['onnx::Mul_369']
[6] Mul_6 | op: Mul | in: ['input.12', 'onnx::Mul_369'] | out: ['onnx::Conv_370']
[7] Conv_7 | op: Conv | in: ['onnx::Conv_370', 'onnx::Conv_699', 'onnx::Conv_700'] | out: ['input.20']
[8] Sigmoid_8 | op: Sigmoid | in: ['input.20'] | out: ['onnx::Mul_373']
[9] Mul_9 | op: Mul | in: ['input.20', 'onnx::Mul_373'] | out: ['onnx::Conv_374']
[10] Conv_10 | op: Conv | in: ['onnx::Conv_374', 'onnx::Conv_702', 'onnx::Conv_703'] | out: ['input.28']
[11] Sigmoid_11 | op: Sigmoid | in: ['input.28'] | out: ['onnx::Mul_377']
[12] Mul_12 | op: Mul | in: ['input.28', 'onnx::Mul_377'] | out: ['onnx::Conv_378']
[13] Conv_13 | op: Conv | in: ['onnx::Conv_378', 'onnx::Conv_705', 'onnx::Conv_706'] | out: ['input.36']
[14] Sigmoid_14 | op: Sigmoid | in: ['input.36'] | out: ['onnx::Mul_381']
[15] Mul_15 | op: Mul | in: ['input.36', 'onnx::Mul_381'] | out: ['onnx::Concat_382']
[16] Conv_16 | op: Conv | in: ['onnx::Conv_378', 'onnx::Conv_708', 'onnx::Conv_709'] | out: ['input.44']
[17] Sigmoid_17 | op: Sigmoid | in: ['input.44'] | out: ['onnx::Mul_385']
[18] Mul_18 | op: Mul | in: ['input.44', 'onnx::Mul_385'] | out: ['onnx::Conv_386']
[19] Conv_19 | op: Conv | in: ['onnx::Conv_386', 'onnx::Conv_711', 'onnx::Conv_712'] | out: ['input.52']
[20] Sigmoid_20 | op: Sigmoid | in: ['input.52'] | out: ['onnx::Mul_389']
[21] Mul_21 | op: Mul | in: ['input.52', 'onnx::Mul_389'] | out: ['onnx::Conv_390']
[22] Conv_22 | op: Conv | in: ['onnx::Conv_390', 'onnx::Conv_714', 'onnx::Conv_715'] | out: ['input.60']
[23] Sigmoid_23 | op: Sigmoid | in: ['input.60'] | out: ['onnx::Mul_393']
[24] Mul_24 | op: Mul | in: ['input.60', 'onnx::Mul_393'] | out: ['onnx::Conv_394']
[25] Conv_25 | op: Conv | in: ['onnx::Conv_394', 'onnx::Conv_717', 'onnx::Conv_718'] | out: ['input.68']
[26] Sigmoid_26 | op: Sigmoid | in: ['input.68'] | out: ['onnx::Mul_397']
[27] Mul_27 | op: Mul | in: ['input.68', 'onnx::Mul_397'] | out: ['onnx::Add_398']
[28] Add_28 | op: Add | in: ['onnx::Add_398', 'onnx::Conv_386'] | out: ['input.72']
[29] Conv_29 | op: Conv | in: ['input.72', 'onnx::Conv_720', 'onnx::Conv_721'] | out: ['input.80']
[30] Sigmoid_30 | op: Sigmoid | in: ['input.80'] | out: ['onnx::Mul_402']
[31] Mul_31 | op: Mul | in: ['input.80', 'onnx::Mul_402'] | out: ['onnx::Conv_403']
[32] Conv_32 | op: Conv | in: ['onnx::Conv_403', 'onnx::Conv_723', 'onnx::Conv_724'] | out: ['input.88']
[33] Sigmoid_33 | op: Sigmoid | in: ['input.88'] | out: ['onnx::Mul_406']
[34] Mul_34 | op: Mul | in: ['input.88', 'onnx::Mul_406'] | out: ['onnx::Conv_407']
[35] Conv_35 | op: Conv | in: ['onnx::Conv_407', 'onnx::Conv_726', 'onnx::Conv_727'] | out: ['input.96']
[36] Sigmoid_36 | op: Sigmoid | in: ['input.96'] | out: ['onnx::Mul_410']
